title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"3-комн. кв., 63 м2","Бишкек, Аламедин-1 м-н",$ 44 500,3 773 600 сом,$ 706/м2,59 898 сом/м2,Добавлено 3 месяца назад,Поднято 9 часов назад,517,от агента,"панельный, 1999 г.",4 этаж из 5,,63 м2,,106 серия,центральное,хорошее,есть,,раздельный,,,,,,,,,автономный,,домофон,частично меблирована,линолеум,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",есть,есть,,"

                                    Описание от продавца                            
Срочно!!! Продаю 3-х ком. квартиру в Аламедине 1
🚩Адрес:Аламедин 1 дом 5
✓ S - 61 кв.м.                         
✓105 серия 
✓4этаж из 5.     
🔺Хороший район, в  шаговой доступности (кафе Жасмин)  частный/ гос  садик 162,  школа √1, 38 , очень удобная транспортная развязка ( 147. 111. 220. 216. 137. автобусы 38.29) 
✓Ремонт хороший 
✓Не угловая квартира
✓Все коммуникации центральные!
 
Цена: $44 500

Телефон:0500985656
0550980656
","""42.8758""","""74.6802""",https://www.house.kg/details/87290345ff2ce7e942182-94082987
"Коммерческая недвижимость, 750 м2","Бишкек, Гражданская",$ 645 000,54 696 000 сом,$ 860/м2,72 928 сом/м2,Добавлено 3 месяца назад,Поднято 9 часов назад,404,от собственника,"кирпичный, 2010 г.",,3,750 м2,5 соток,,на твердом топливе,,есть,,,,,,,,,,,,,"решетки на окнах,                                             домофон,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",,,3 м.,,,,,"

                                    Описание от продавца                            
🔥🔥🔥Срочно срочно 🔥🔥🔥Продаётся 3 этажный коммерческий объект.                         
 Общий площадь 750 м.кв 👍
Общий соток участка 5с😍         
 По улице Чуй / Алматинка.  
 Все коммуникации центральные. Идеальны вариант для бизнеса ( швейный цех, мед.клиника и.т.д) 
Цена 645000 $
 Звоните по номеру
0500985656.          
  0550980656
","""42.875""","""74.6347""",https://www.house.kg/details/96009625ff821cf7fae42-90942879
"2-комн. кв., 62 м2","Бишкек, Кок-Жар ж/м",$ 40 500,3 434 400 сом,$ 653/м2,55 394 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,310,от агента,"панельный, 2020 г.",11 этаж из 12,,62 м2,,элитка,электрическое,евроремонт,есть,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,линолеум,3 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю 2-х ком. квартиру в ж/м Кок-Жар (ориентир 88 школа, Ахунбаева/А.Атинская)                                                                                                       S-62кв.м.
11 этаж из 12
Прекрасный вид на горы😍
                                                                                                                         
ЖК Шабдан Баатыр, С/К КG групп, дом заселен

Кирпично-монолитный дом, утепленный, отопление электрическое. 
Круглосуточная охрана, видеонаблюдение, пожарная сигнализация, интернет, современный бесшумный лифт, благоустроенный двор, детская площадка, подземный паркинг, гостевой паркинг. 

Рядом 88 школа, детские сады, супермаркет Глобус, бот. сад, магазины и аптеки

Хороший, спокойный район, свежий воздух 
                                                                               
Цена: 40500$ торг
Тел:0500985656 0550980656
","""42.8542""","""74.6453""",https://www.house.kg/details/7971839601285a9988a70-67019162
"2-комн. кв., 50 м2","Бишкек, 1000 мелочей, Гоголя/Токтогула",$ 44 000,3 731 200 сом,$ 880/м2,74 624 сом/м2,Добавлено 1 месяц назад,Поднято 9 часов назад,255,от собственника,панельный,3 этаж из 5,,50 м2,,105 серия,центральное,хорошее,,,раздельный,лоджия,,паркинг,,,,,,магистральный,,,,,2.8 м.,,,,,,"""42.8722""","""74.6201""",https://www.house.kg/details/380180160338ea491aaa4-32606621
"1-комн. кв., 35 м2","Бишкек, Боконбаева/Советская",$ 29 000,2 459 200 сом,$ 829/м2,70 263 сом/м2,Добавлено 4 месяца назад,Поднято 9 часов назад,1139,от собственника,кирпичный,6 этаж из 6,,35 м2,,индивид. планировка,центральное,хорошее,,проводной,совмещенный,лоджия,металлическая,рядом охраняемая стоянка,,,,,,магистральный,,,частично меблирована,,2.6 м.,,,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1ком квартиру 

адрес: Советская пер Боконбаева

серия: индивидуальная планировка 

состояние хорошее 

все коммуникации центральные 

этаж 6 из 6

район с развитой инфраструктурой 

в шаговой доступности школа,садик,универ 

разные гос учреждения. 

удобная транспортная развязка 

звоните расскажу подробнее. 

тел 0703241656

0557862898
","""42.8679""","""74.612""",https://www.house.kg/details/40166995fc0f07b6e1189-53552322
"2-комн. кв., 62 м2","Бишкек, Тунгуч м-н, 40",$ 48 500,4 112 800 сом,$ 782/м2,66 335 сом/м2,Добавлено 1 день назад,Поднято 9 часов назад,13,от агента,"монолитный, 2019 г.",5 этаж из 12,,62 м2,,элитка,центральное,евроремонт,есть,проводной,раздельный,,бронированная,паркинг,,,,,,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,линолеум,2.8 м.,"пластиковые окна,                                             улучшенная",нет,нет,,"

                                    Описание от продавца                            
Срочно!!! Продаю 2ком. кв
Тунгуч 1
СК ""Ихлас""

S -62кв.м.                         
5 этаж из 12
Все коммуникации центральные.
Дом кирпичный.

 Тихий, хороший район, в  шаговой доступности   частный/ гос.садики, школы, поликлиника

очень удобная транспортная развязка. 
 
Цена: $ 48500 торг

Телефон: 0500985656 0550980656
","""42.8535""","""74.6879""",https://www.house.kg/details/962379605ac827a38290-95513142
"2-комн. кв., 75 м2","Бишкек, ул. Тыналиева, 2/21",$ 75 000,6 360 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 1 день назад,Поднято 9 часов назад,13,от агента,"монолитный, 2019 г.",11 этаж из 14,,75 м2,,элитка,центральное,евроремонт,есть,,раздельный,балкон,бронированная,паркинг,,,,,,,,,пустая,,2.8 м.,,,,,"

                                    Описание от продавца                            
Срочно! Продаю 2-х ком. элитную  кв! 
Ахунбаева/ Тыналиева 
СК ""Имарат Прогресс""! ЖК ""Алтын Булак life.""
Жилой комплекс «Алтын Булак» расположен в Южной части города Бишкек, где чистый воздух, спускаемый с гор, окрыляет свежестью, каждый раз как вы выходите из квартиры. 
Этаж 11 из 12.
S- 75кв

Центральное отопление с монтажем чугунных радиаторов.
Бесшумный скоростной лифт с резервным питанием.
Центральная  горячая и холодная водоснабжение.
Природный газ.
Кабельное телевидение.
В квартире идеальный ремонт, вся техника остаётся, техника немецкая. 

Просторный двор.

Цена: 75 000 торг 
Тел: 0500985656 0550980656
","""42.8642""","""74.5591""",https://www.house.kg/details/9954104605aca21b35f80-30874710
"2-комн. кв., 59.6 м2","Бишкек, Кудайберген, Патриса лумумбы 149б/профсоюзная",$ 41 800,3 544 640 сом,$ 701/м2,59 474 сом/м2,Добавлено 13 дней назад,Поднято 9 часов назад,104,от собственника,панельный,3 этаж из 3,,"59.6 м2, жилая: 55.6 м2",,105 серия,центральное,требует ремонта,,,раздельный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
квартира теплая требуется небольшой ремонт
","""42.8854""","""74.5245""",https://www.house.kg/details/4044904604ba56d926ba1-11514466
"1-комн. кв., 32 м2",Бишкек,$ 35 000,2 968 000 сом,$ 1 094/м2,92 750 сом/м2,Добавлено 9 часов назад,,3,от агента,панельный,2 этаж из 5,,32 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся  1 комнатная квартира 30 м2
В районе Золотого квадрата
Турусбекова/ Токтогула
Этаж-2/5
Не угловая 
104-серия
Балкон застеклен
Хорошее состояние 
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка
 
Цена: 35 000$
Есть небольшой торг
","""42.874""","""74.5845""",https://www.house.kg/details/8785713605c217e0572a9-11621538
"2-комн. кв., 80 м2","Бишкек, Филармония",$ 82 000,6 953 600 сом,$ 1 025/м2,86 920 сом/м2,Добавлено 9 часов назад,,5,от агента,кирпичный,1 этаж из 10,,80 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в Центре!
СК "" Авангард "" .
Год постройки : 2015 .
Тип строения : кирпичное .
Площадь : 80м2 .
Этажность : 1 из 10.
Есть цокольный этаж
Коммуникации : Центральные .
Документы : Техпаспорт .
С Ремонтом
Мебель техника остается частично !
Цена : 82000 $ .
Адрес:Токтогула Исанова
т:508343499
","""42.8737""","""74.593""",https://www.house.kg/details/5128534605c21617be534-57918454
"1-комн. кв., 32 м2",Бишкек,$ 35 000,2 968 000 сом,$ 1 094/м2,92 750 сом/м2,Добавлено 9 часов назад,,5,от агента,панельный,2 этаж из 5,,32 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся  1 комнатная квартира 30 м2
В районе Золотого квадрата
Турусбекова/ Токтогула
Этаж-2/5
Не угловая 
104-серия
Балкон застеклен
Хорошее состояние 
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка
 
Цена: 35 000$
Есть небольшой торг
","""42.874""","""74.5845""",https://www.house.kg/details/8785713605c217e0572a9-11621538
"2-комн. кв., 80 м2","Бишкек, Филармония",$ 82 000,6 953 600 сом,$ 1 025/м2,86 920 сом/м2,Добавлено 9 часов назад,,7,от агента,кирпичный,1 этаж из 10,,80 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в Центре!
СК "" Авангард "" .
Год постройки : 2015 .
Тип строения : кирпичное .
Площадь : 80м2 .
Этажность : 1 из 10.
Есть цокольный этаж
Коммуникации : Центральные .
Документы : Техпаспорт .
С Ремонтом
Мебель техника остается частично !
Цена : 82000 $ .
Адрес:Токтогула Исанова
т:508343499
","""42.8737""","""74.593""",https://www.house.kg/details/5128534605c21617be534-57918454
"2-комн. кв., 80 м2","Бишкек, Филармония",$ 82 000,6 953 600 сом,$ 1 025/м2,86 920 сом/м2,Добавлено 9 часов назад,,6,от собственника,кирпичный,1 этаж из 10,,80 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в Центре!
СК "" Авангард "" .
Год постройки : 2015 .
Тип строения : кирпичное .
Площадь : 80м2 .
Этажность : 1 из 10.
Есть цокольный этаж
Коммуникации : Центральные .
Документы : Техпаспорт .
С Ремонтом
Мебель техника остается частично !
Цена : 82000 $ .
ТЕЛ.0509999001.0995885558
","""42.8738""","""74.593""",https://www.house.kg/details/3640165605c213e7bd053-38887804
"1-комн. кв., 31 м2","Бишкек, Садыгалиева/Дэн Сяопина",$ 15 300,1 297 440 сом,$ 494/м2,41 853 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,585,от собственника,"кирпичный, 2023 г.",3 этаж из 9,,31 м2,,элитка,на газе,евроремонт,нет,проводной,совмещенный,лоджия,бронированная,,,,,,,магистральный,,домофон,частично меблирована,,3 м.,"пластиковые окна,                                             комнаты изолированы",нет,нет,обмен на авто,"

                                    Описание от продавца                            
ВСЕГО 5 КВАРТИР! СУПЕР АКЦИЯ

Мы объявляем о грандиозной акции! Такое предложение вы еще не видели

Объявляем старт продаж по новому объекту от строительной компании «Альфа»! 

ВСЕГО ОДНУ НЕДЕЛЮ. ВРЕМЯ ОГРАНИЧЕГО

Только первые 5 квартир по цене 500$ за м2. 

Мебель от компании IKEA в ПОДАРОК  

РЕМОНТ “ПОД КЛЮЧ” в ПОДАРОК  

🛋IKEA - крупнейшая шведская компания мебели, которая заслужила любовь и доверие по всему миру! Вам остается только заехать в готовую квартиру

Всего неделю, затем мы ЗАКРЫВАЕМ акцию♂
Успейте оказаться счастливчиками
","""42.8739""","""74.5241""",https://www.house.kg/details/12837146013f8ff807e87-95036409
"1-комн. кв., 30 м2","Бишкек, Турусбекова/Токтогула",$ 35 000,2 968 000 сом,$ 1 167/м2,98 933 сом/м2,Добавлено 9 часов назад,,9,от собственника,панельный,2 этаж из 5,,30 м2,,104 серия,центральное,хорошее,,,,застекленный балкон,,,,,,,,,,,полностью меблирована,,,,,,,,"""42.872""","""74.5843""",https://www.house.kg/details/5957430605c20efc55a66-86294614
"1-комн. кв., 31 м2","Бишкек, Дэн Сяопина/Садыгалиева",$ 17 050,1 445 840 сом,$ 550/м2,46 640 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,641,от собственника,"кирпичный, 2023 г.",3 этаж из 9,,31 м2,,элитка,,под самоотделку (псо),,,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,,,,,,,,есть,нет,рассмотрю варианты,,"""42.8739""","""74.5239""",https://www.house.kg/details/4713030600540211fb441-68695175
"2-комн. кв., 71 м2","Бишкек, Кок-Жар м-н, Чар 66",$ 42 360,3 592 128 сом,$ 597/м2,50 593 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,432,от собственника,"монолитный, 2023 г.",4 этаж из 12,,"71 м2, кухня: 11 м2",,элитка,центральное,под самоотделку (псо),,,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,пустая,,3 м.,,есть,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Квартиры в строящемся доме  комфорт класса в микрорайоне Кок-Жар
- Рассрочка на 22 месяцев + индивидуальные условия оплаты
- монолитная конструкция, кирпичная кладка с наружным утеплением
- центральные коммуникации, в том числе отопление + газ
- Есть возможность обмена на авто и вторичную недвижимость в черте Бишкека
Наличка $550
Рассрочка $600
","""42.8506""","""74.6364""",https://www.house.kg/details/45824525ffeab77a619d3-34135611
"3-комн. кв., 78 м2","Бишкек, Аламедин-1 м-н, мкрн Аламедин-1",$ 42 740,3 624 352 сом,$ 548/м2,46 466 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,370,от собственника,"монолитный, 2020 г.",9 этаж из 9,,"78 м2, кухня: 11 м2",,элитка,центральное,под самоотделку (псо),,проводной,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,,пустая,,3 м.,пластиковые окна,нет,нет,,"

                                    Описание от продавца                            
Последняя квартира в строящемся жилом доме "" Элес "" Срок сдачи под ПСО 2021 год 2 квартал
Продается 3-комнатная квартира в ЖД Элес!
Дом оснащен:
Турецкими безумными лифтами
Подключен ко всем центральным коммуникациям ( отопление, канализация, газ, электричество, вода )
Пластиковые окна 4 камерные
Современные бронированные двери
Цифровое телевидение, интернет

77.71 м2 по 550$ = 42741$$$
","""42.8758""","""74.6818""",https://www.house.kg/details/85920695ffe82bcbbed86-43866662
"1-комн. кв., 42.11 м2","Бишкек, Ауэзова/Чуй",$ 23 160,1 963 968 сом,$ 550/м2,46 639 сом/м2,Добавлено 5 месяцев назад,Поднято 9 часов назад,544,от собственника,монолитный,3 этаж из 9,,"42.11 м2, кухня: 13.08 м2",,элитка,центральное,свободная планировка,возможно подключение,проводной,совмещенный,лоджия,бронированная,,,,,,,магистральный,,,,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
"" Аура "" Жилой дом Чуй Ауэзова
Этажность 9 / Количество комнат 1/2/3 
Тип дома монолит, кирпич 
Преимущества дома:
• Центральное отопления
• Природный газ
• 4-камерные пластиковые окна
• Бронированные входные двери
• Бесшумные скоростные лифты
• Фасадный декоративный утеплитель

Цена за наличный расчет по 550$
Рассрочка 600$ на 36 месяцев
","""42.8716""","""74.6902""",https://www.house.kg/details/88247715f9cde89c48026-60580581
"Участок, 8 соток","Бишкек, Ул.кен суу 95/АК тан",$ 55 000,4 664 000 сом,,,Добавлено 1 год назад,Поднято 9 часов назад,1575,от собственника,,,,,8 соток,,,,,,,,,,,в городе,,,,,,,,,,,нет,нет,рассмотрю варианты,,"""42.8364""","""74.5471""",https://www.house.kg/details/81714775e31adcaf19858-99630563
"1-комн. кв., 42.11 м2","Бишкек, Ауэзова/Чуй",$ 23 160,1 963 968 сом,$ 550/м2,46 639 сом/м2,Добавлено 5 месяцев назад,Поднято 9 часов назад,546,от собственника,монолитный,3 этаж из 9,,"42.11 м2, кухня: 13.08 м2",,элитка,центральное,свободная планировка,возможно подключение,проводной,совмещенный,лоджия,бронированная,,,,,,,магистральный,,,,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
"" Аура "" Жилой дом Чуй Ауэзова
Этажность 9 / Количество комнат 1/2/3 
Тип дома монолит, кирпич 
Преимущества дома:
• Центральное отопления
• Природный газ
• 4-камерные пластиковые окна
• Бронированные входные двери
• Бесшумные скоростные лифты
• Фасадный декоративный утеплитель

Цена за наличный расчет по 550$
Рассрочка 600$ на 36 месяцев
","""42.8716""","""74.6902""",https://www.house.kg/details/88247715f9cde89c48026-60580581
"Участок, 8 соток","Бишкек, Ул.кен суу 95/АК тан",$ 55 000,4 664 000 сом,,,Добавлено 1 год назад,Поднято 9 часов назад,1577,от собственника,,,,,8 соток,,,,,,,,,,,в городе,,,,,,,,,,,нет,нет,рассмотрю варианты,,"""42.8364""","""74.5471""",https://www.house.kg/details/81714775e31adcaf19858-99630563
"3-комн. кв., 80 м2",Бишкек,$ 63 500,5 384 800 сом,$ 794/м2,67 310 сом/м2,Добавлено 9 часов назад,,2,от агента,панельный,2 этаж из 9,,80 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 3х комнатная квартира +Сушилка
106 серия
Отопление центральное
Суюнбаева/Токтогула
Общая площадь-80 м2
Этаж-2/9
Угловая
Лоджия застекленная
Частично мебель
Тихий район, всё в шаговой доступности.
Цена: 63 500$
Торг при осмотре
","""42.8723""","""74.6237""",https://www.house.kg/details/9526246605c208b166fe6-60658758
"Дом, 5-комн., 170 м2","Бишкек, Кок-Жар ж/м, Арстанбап",$ 135 000,11 448 000 сом,$ 794/м2,67 341 сом/м2,Добавлено 9 часов назад,,12,от агента,кирпичный,,2,170 м2,4 соток,,центральное,евроремонт,,,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаем  частный дом 5 комнат. 
Адрес; Кок-Жар 
Участок 4 сотки. Площадь 170 м2. Свежий евроремонт. 
Центральная канализация 
Между этажами монолит. Отопление газовое и угольное. Есть баня, хоз постройки. 
Цена; 135.000$(торг) 
Дом очень тёплый и уютный)))
","""42.8381""","""74.6468""",https://www.house.kg/details/3075347605c205a449dc4-81111264
