title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения,Период аренды
"Дом, 4-комн., 250 м2",Бишкек,$ 770 000,65 296 000 сом,$ 3 080/м2,261 184 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,404,от агента,кирпичный,,1,250 м2,7.5 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю коттедж с дизайнерским ремонтом в VIP городке ""Браво"" 
Площадь 250 М2
Участок 7,5 соток на красной книге
Высота потолков 3,5 м
Все коммуникации 
Гостиная, кухня, три спальные комнаты и 3 санузла, зимний сад с камином, баня, зона барбекю, навес на три авто
Теплые полы
Итальянская мебель
Готовы оставить всё
Цена 770 000 $
","""42.8085""","""74.5966""",https://www.house.kg/details/498755460011d3654d4f7-48274157,,
"Участок, 14 соток","Бишкек, Асанбай м-н",$ 350 000,29 680 000 сом,,,Добавлено 2 месяца назад,Поднято 7 дней назад,395,от собственника,,,,,14 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается земельный участок 19 соток , по красной книге 14 соток
Асанбай, Южная Магистраль, 1-ая линия
все документы в порядке

Участок находится на первой линии по Южной Магистрали в микрорайоне Асанбай рядом с рестораном ""Барашек"" Предназначение участка под малоэтажное строительство до 2-х этажей. Можно под офисы, клиники, детские сады, образовательные учреждения, банк и автосалон и ТД.
Все коммуникации
Возможно освоить 4 сотки капитального строительства , остальное согласно строительным нормам на  отступы, пожарные заезды, благоустройство, лёгкие конструкции

Цена 350 000 $ Торг за наличный расчет
","""42.8185""","""74.6238""",https://www.house.kg/details/666094460015daf4a8fe7-49143496,,
"1-комн. кв., 48 м2","Бишкек, пр. Ч.Айтматова - Масалиева",$ 25 440,2 157 312 сом,$ 530/м2,44 944 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,229,от собственника,монолитный,5 этаж из 9,,48 м2,,108 серия,автономное,,,,,,,,,,,,,,,,,,2.8 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
⠀такого ещё не было!!!
⠀ жилой комплекс ""молодежный  квартал"" от строительной компании ""делюр""
это новые дома 108 серии!
2 и 3 этап строительства от 530 $ до 590 $за м2 , рассрочка, бартер 
1 этап сдан под самотделку от 560 $ до 620 $ за м2 рассрочка, бартер
⠀
 адрес  ул.Душанбинская/юж.Магистраль
1-ком квартиры с балконом :
46.15 м2 , 48,12 м2 
1-ком квартира с дополнительной комнатой и балконом
57.95 м2
2-х ком квартира с балконом 
70,52 м2 
2-х ком квартира с дополнительной комнатой и балконом
85,53 м2 
3-х ком квартира с дополнительной комнатой и балконом
107,37 м2
цена от 530 $ за м2 
до конца года мы заморозили доллар на отметке 81 сом при взносе не менее 50 %
так же есть другие акции , успейте ими воспользоваться!!!
...........................................

⠀
 отличительные особенности  комплекса:
⠀
* увеличение полезной площади
⠀
* внутренняя система утепления наружных стен
⠀
* удобный подъём лифта от нулевого этажа, что очень важно для людей с ограниченными возможностями и мам с колясками.
⠀
* строительство с использованием современных технологий.
⠀
* участок 3 гектара с застройкой 30%!!!, всё остальное на благоустройство внутренней инфраструктуры комплекса!
⠀
* расположение в экологической зоне.

* расстояние между домами 37 м
⠀
* доступная стоимость жилья
⠀
цена от 530 $ за 1 м2 !!! 
⠀
рассрочка 
бартер авто, недвижимость!
⠀
","""42.8249""","""74.591""",https://www.house.kg/details/4992707600a75b5100138-47316093,,
"1-комн. кв., 50 м2",Бишкек,$ 38 500,3 264 800 сом,$ 770/м2,65 296 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,191,от агента,кирпичный,3 этаж из 6,,50 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 1 комнатную квартиру студию с ремонтом в клубном доме . Центр , район КГНУ
Ул.Жумабек ( Иваницина ) / Исанова 
Площадь 45 М2 + лоджия 5 м2
3 этаж из 6 , бесшумный корейский лифт
Дом 2011 года постройки, всего 16 квартир
Все коммуникации центральные
Сдан в эксплуатацию, техпаспорт
Окна Юг / Запад 
Расположение окон и большой жилой комнаты (35,6м2) позволяет сделать из студии полноценную однокомнатную , либо 2 комнатную студию 
Имеется свой трансформатор
Застройщик D Center
Оставим встроенную кухню, прихожую, большой угловой диван, шторы 
Цена 38 500 $
","""42.8832""","""74.5907""",https://www.house.kg/details/8434878600ba62123ccd7-63388598,,
"Дом, 6 и более комнат, 320 м2",Бишкек,$ 285 000,24 168 000 сом,$ 891/м2,75 525 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,234,от агента,кирпичный,,3,320 м2,8 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3 этажный особняк 9 комнат
Тыналиева / Айни 
Площадь 320 М2 
Участок 8 соток , красная книга
Центральная канализация, три вида топлива 
Баня, капитальный гараж,. двор брусчатка, навес 
Заезд для 8 авто, так же большая гостевая стоянка 
Дом кирпичный (2 кирпича , утеплен) , видео наблюдение, система охраны .
Участок правильной формы, угловой , есть возможность организовать второй заезд 
Идеально как под жильё, так и под офис для солидной организации
Цена 285 000 $
","""42.8464""","""74.5643""",https://www.house.kg/details/59574276010c07f234d29-13715187,,
"3-комн. кв., 99 м2","Бишкек, 4 м-н",$ 79 500,6 741 600 сом,$ 803/м2,68 097 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,239,от собственника,кирпичный,2 этаж из 9,,99 м2,,элитка,электрическое,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю элитную 3 комнатную квартиру с ремонтом 
4 микрорайон 
СК ""Кап Строй""
2 этаж из 9 
Площадь 99,1 М2 
Дом двухподьездный , всего 38 квартир , два въезда во двор , детская площадка
Техпаспорт, ТСЖ
Коммуникации центральные, газификация , отопление электрическое
Цена 79 500 $
","""42.8385""","""74.6247""",https://www.house.kg/details/407668860233ffe1540c7-66866420,,
"Коммерческая недвижимость, 250 м2","Бишкек, Киргизия 1 ж/м",$ 450 000,38 160 000 сом,$ 1 800/м2,152 640 сом/м2,Добавлено 30 дней назад,Поднято 7 дней назад,114,от собственника,кирпичный,,2,250 м2,8 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается участок под бизнес с готовым проектом под эксклюзивный ресторан
Проспект Чынгыза Айтматова Киргизия 1 Кафе-Магазин РАХАТ + летник 
Участок вдоль дороги на первой линии. 
8 соток (красная книга), а также прилегающая  территория 4 сотки (зелёная книга на 5 лет с продлением)  для гостевой автостоянки 
Длина 50 метров/ширина 16 метров. 
Площадь застройки более 250м2
КОММУНИКАЦИИ: электричество, вода, канализация. 
Все документы в наличии: красная книга и тех паспорт 
Цена : 450 000 $
","""42.8211""","""74.5844""",https://www.house.kg/details/45796886035d86d9e84c6-93332941,,
"3-комн. кв., 91 м2","Бишкек, ул. Малдыбаева, 54а",$ 89 500,7 589 600 сом,$ 984/м2,83 402 сом/м2,Добавлено 26 дней назад,Поднято 7 дней назад,95,от собственника,монолитный,8 этаж из 10,,91 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю элитную 3-х комнатную квартиру с ремонтом
Малдыбаева / Ахунбаева  
СК "" ИХЛАС ""  
8 этаж из 10 , не угол
2 квартиры на площадке!  
Площадь 91,3 м2  
Квартира правильной планировки
Техпаспорт
Большой, закрытый двор, детская площадка 
коммуникации центральные
Цена 89 500 $
","""42.8405""","""74.5995""",https://www.house.kg/details/7100612603a24b96d0c14-84056549,,
"Участок, 8 соток",Бишкек,$ 135 000,11 448 000 сом,,,Добавлено 24 дня назад,Поднято 7 дней назад,144,от агента,,,,,8 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю участок правильной формы  8 соток 
ЖМ Ынтымак по Ул. Стадионная 
Красная книга 
Коммуникации все рядом, центральная канализация, газ, свет, вода
Участок огорожен капитальным забором 
Удобное расположение, подъездные  асфальтированные 
Цена 135 000 $
","""42.8216""","""74.5706""",https://www.house.kg/details/7113722603d06019be183-73760818,,
"Дом, 4-комн., 80 м2",Бишкек,$ 60 900,5 164 320 сом,$ 761/м2,64 554 сом/м2,Добавлено 24 дня назад,Поднято 7 дней назад,106,от собственника,кирпичный,,1,80 м2,5 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю благоустроенный кирпичный дом 4 комнаты
Жилмассив АК Ордо (начало), 100 м школа √96
Площадь дома 10м*9м, техпаспорт
Участок 5 соток на красной книге
Центральная канализация :, водопровод, отопление газ, твердое 
Год постройки: 2012
 Маршрутки
106, 139, 169, 192, 222, 204 (150 метров от дома).
 Автобусы
6 (150 метров от дома)
Стены Беловодский 1,5 кирпича снаружи с 3 сторон утеплен пеноплексом 3 см, 
Двор брусчатка гараж+очоккана+времянка(при желаниие можно сдать в аренду)+склад (размер 25 метров )
Самая лучшая улица в АК Ордо !
 Цена  60 900 $
----------------------------------------------------
Обмен возможен на новую 3 ком с нашей доплатой квартиру( не  106). Желательно от Джала до Советской. Районы Медакадемия, Политех, Джал.
","""42.8353""","""74.5191""",https://www.house.kg/details/7433583603d106a5f7f24-14984650,,
"3-комн. кв., 55 м2",Бишкек,$ 40 500,3 434 400 сом,$ 736/м2,62 444 сом/м2,Добавлено 22 дня назад,Поднято 7 дней назад,85,от собственника,кирпичный,5 этаж из 5,,55 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру индивидуальный проект
Боконбаева / Логвиненко . Центр 
Площадь 55,3 М2 
5 этаж из 5 , угол , дом кирпичный
Коммуникации центральные
Большой огороженный двор
Рядом 70 гимназия , 28 гимназия , Мед училище 
Цена 40 500 $ небольшой торг
","""42.8671""","""74.599""",https://www.house.kg/details/3778309603f496f5b2be5-35517400,,
"Участок, 17 соток","Бишкек, Ынтымак ж/м",$ 173 000,14 670 400 сом,,,Добавлено 22 дня назад,Поднято 7 дней назад,110,от собственника,,,,,17 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю участок правильной формы 16,86 соток 
Жилмассив Ынтымак
Тыналиева / Кара - Коо
3 гос акта , все коммуникации, газ, свет, вода, центральная канализация
Разрешено строительство до 4 этажей
Цена всего 173 000 $
","""42.8239""","""74.5681""",https://www.house.kg/details/4161567603f56d17c75b6-61210669,,
"Коммерческая недвижимость, 123 м2",Бишкек,$ 59 500,5 045 600 сом,$ 484/м2,41 021 сом/м2,Добавлено 21 день назад,Поднято 7 дней назад,102,от собственника,панельный,,12,123 м2,,,центральное,,,,,,,,,,,,,,,,,,,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю цокольное  коммерческое  помещение с ремонтом. Собственник.
Пр. Чингиза Айтматова (пр. Мира) / Джамамбаева
Площадь 123 М2 , отдельный вход с западной стороны 
Все коммуникации , кроме газа , отопление бесплатное!
5 комнат + санузел + кухня
Идеально под магазин , прокат , типографию, офис, салон красоты, прочее 
Цена всего 59 500 $
","""42.8491""","""74.5857""",https://www.house.kg/details/66181436041e6f0234612-90937494,,
"2-комн. кв., 52 м2","Бишкек, суюмбаева 2",$ 38 800,3 290 240 сом,$ 746/м2,63 274 сом/м2,Добавлено 9 дней назад,Поднято 7 дней назад,38,от собственника,панельный,4 этаж из 9,,52 м2,,106 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю дёшево 2 комнатную квартиру 106 серии , центр    
Суюнбаева дом 2 (Карпинка) / Боконбаева (Штанброй) район Мечети  
4 этаж из 9 не угол , две лоджии 
Квартира без ремонта   
Окна на юг 
Площадь 52 М2  
Рядом ГМ Глобус
Документы в порядке
Цена всего 38 800 $
","""42.8662""","""74.624""",https://www.house.kg/details/72313066051633ab37760-38634112,,
"1-комн. кв., 61 м2","Бишкек, ул. Абдымомунова / Уметалиева",$ 39 760,3 371 648 сом,$ 652/м2,55 273 сом/м2,Добавлено 9 дней назад,Поднято 7 дней назад,30,от собственника,монолитный,9 этаж из 12,,61 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 1 комнатную квартиру   
Центр Уметалиева / Рыскулова
ЖК "" АК Марал 2 ""
СК "" Кап Строй ""
Площадь 60,7 М2  
9 этаж из 12 
Коммуникации центральные
Завершение 1 квартал 2021 года 
Цена вчего 655 $ за м2
","""42.8812""","""74.5812""",https://www.house.kg/details/561365560517ea77d4d85-49885589,,
"2-комн. кв., 52 м2",Бишкек,$ 41 000,3 476 800 сом,$ 788/м2,66 862 сом/м2,Добавлено 9 дней назад,Поднято 7 дней назад,26,от собственника,панельный,1 этаж из 9,,52 м2,,105 серия,центральное,,,,,,,,,,,,,,,,,,,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 2 комнатную квартиру 105 серии 
Мкр Джал ( нижний )  
Площадь 52 М2 
1 этаж из 9 , угол, идеально под офис
Центральные коммуникации 
Всё в квартире остаётся 
Цена 41 000 $, торг символический
","""42.8415""","""74.5657""",https://www.house.kg/details/410657560517b5f0323d2-87019068,,
"Дом, 4-комн., 47 м2",Бишкек,$ 27 700,2 348 960 сом,$ 589/м2,49 978 сом/м2,Добавлено 9 дней назад,Поднято 7 дней назад,66,от собственника,другое,,1,47 м2,7 соток,,смешанное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю саманный дом 4 комнаты с большим участком. Собственник.
район Жибек Жолу/ Фучика 
Переулок Ленский дом 11
площадь дома 46,7 м2  
Участок 7.5 соток  по правоустанавливающим документам 5,5 соток фактически
Отопление газ и твердое топливо
Дом требует ремонта
Большая территория участка позволяет постройку нового дома 
Не проездной, тихий, широкий переулок!
400 м до двух школ 44 и 54
Цена подарок !  27 700 $
Торг символический
","""42.8926""","""74.5536""",https://www.house.kg/details/591380460519b502ca482-31682498,,
"Участок, 7 соток","Бишкек, Ленский 11 11",$ 27 700,2 348 960 сом,,,Добавлено 9 дней назад,Поднято 7 дней назад,38,от собственника,,,,,7 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю участок. Собственник.
район Жибек Жолу/ Фучика 
Переулок Ленский дом 11
На участке саманный дом 
Участок 7.5 соток  по правоустанавливающим документам 5,5 соток фактически
газ , свет, вода 
Дом бещ ремонта
Большая территория участка позволяет постройку нового дома 
Не проездной, тихий, широкий переулок!
400 м до двух школ 44 и 54
Цена подарок !  27 700 $
Торг символический
","""42.8925""","""74.554""",https://www.house.kg/details/558376560519ab34f8a88-56574474,,
"1-комн. кв., 33 м2","Бишкек, 10 м-н",$ 31 500,2 671 200 сом,$ 955/м2,80 945 сом/м2,Добавлено 8 дней назад,Поднято 7 дней назад,34,от собственника,панельный,3 этаж из 5,,33 м2,,105 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 1 комнатную квартиру 105 серии с лоджией 
10 микрорайон возле Октябрьской налоговой 
3 этаж из 5 , угол
Площадь 33 М2
Квартира чистая, аккуратная 
Большая застеклённая лоджия 
Квартира теплая, Окна на восток
Без мебели
В шаговой доступности базарчик, 100 м детский сад 107, 700м - 62 гимназия 
Цена 31 500 $
","""42.832""","""74.6021""",https://www.house.kg/details/72584766051cbe2200534-28972628,,
"1-комн. кв., 30 м2","Бишкек, Исакеева 2А",$ 28 500,2 416 800 сом,$ 950/м2,80 560 сом/м2,Добавлено 7 дней назад,,34,от собственника,"монолитный, 2016 г.",7 этаж из 8,,30 м2,,элитка,центральное,хорошее,,,,,,паркинг,,,,,,,,"домофон,                                             видеонаблюдение",полностью меблирована,,3 м.,"пластиковые окна,                                             кондиционер,                                             тихий двор",,,,,"""42.8595""","""74.6825""",https://www.house.kg/details/70666506053c6a28b6050-05004581,,
"1-комн. кв., 35 м2","Бишкек, Джал-29 м-н",$ 32 000,2 713 600 сом,$ 914/м2,77 531 сом/м2,Добавлено 25 дней назад,Поднято 7 дней назад,134,от собственника,"кирпичный, 2018 г.",13 этаж из 13,,35 м2,,элитка,центральное,хорошее,,проводной,совмещенный,,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             охрана,                                             видеонаблюдение",,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1к.кв мкрн. Джал по Магистрали 

Новый дом 2017г.постройки 

Дом сдан. Тех паспорт есть.

 

Квартира на 12эт из 12ти.

Общая площадь 35м²

Хороший панорамный вид.

Окна пластик+решетки 

Двор большой. Имеется очок кана 

 

29500$

07030 55 033
","""42.8302""","""74.5682""",https://www.house.kg/details/6884559603c92571564e8-70055411,,
"3-комн. кв., 58 м2","Бишкек, 8 м-н, Советская",$ 43 500,3 688 800 сом,$ 750/м2,63 600 сом/м2,Добавлено 25 дней назад,Поднято 7 дней назад,114,от собственника,"панельный, 1970 г.",4 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,проводной,совмещенный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,,линолеум,2.6 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3к.кв 8мкрн рядом с Советской

104серия. Квартира не угловая 

На 4этаже из 4х. Крышу ремонтировали 

Хорошее состояние 

43500$

0703 055 033
","""42.8311""","""74.6091""",https://www.house.kg/details/1228995603ca13ce2f589-76422889,,
"1-комн. кв., 35 м2","Бишкек, Вечерка, Ибраимова/Токтогула",$ 31 500,2 671 200 сом,$ 900/м2,76 320 сом/м2,Добавлено 25 дней назад,Поднято 7 дней назад,134,от собственника,"панельный, 1975 г.",1 этаж из 9,,"35 м2, кухня: 9 м2",,106 серия,центральное,хорошее,есть,проводной,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"решетки на окнах,                                             домофон",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1к.кв Токтогула-Правда 

105серия на 1эт из 9ти 

Не угловая 

2лоджии 

Хорошее состояние 

 

31500$

0703 055 033
","""42.8703""","""74.6171""",https://www.house.kg/details/3809729603c8b16605883-60258908,,
"Дом, 2-комн., 40 м2","Бишкек, Ортосайский рынок, Ахунбаева/Бектенова",$ 32 000,2 713 600 сом,$ 800/м2,67 840 сом/м2,Добавлено 25 дней назад,Поднято 7 дней назад,337,от собственника,кирпичный,,1,40 м2,2 соток,,на газе,хорошее,,проводной,раздельный,,,,,,возможно подведение,центральное водоснабжение,есть,магистральный,,,полностью меблирована,дерево,,"сад,                                             хозпостройки,                                             гараж",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю пол дома Ахунбаева -К.Маркса
2комнаты + времянка+погреб.
Во дворе гараж+большая яма.
Сан уз. в доме
Отопление газовое
Дом кирпичный. Полы деревянные

Участок 2,5 сот.

32 000$

 

0703 055 033
","""42.8424""","""74.6204""",https://www.house.kg/details/3958367603c88192c2881-69917880,,
"2-комн. кв., 42 м2","Бишкек, 4 м-н, Донецкая",$ 37 500,3 180 000 сом,$ 893/м2,75 714 сом/м2,Добавлено 25 дней назад,Поднято 7 дней назад,163,от собственника,панельный,3 этаж из 4,,42 м2,,104 серия,центральное,хорошее,,проводной,совмещенный,застекленный балкон,бронированная,,,,,,,магистральный,,,,,,"пластиковые окна,                                             комнаты изолированы",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 2к.кв 4мкрн. по Донецкой 

104серия на 3эт из 4х, не угловая 

Хорошее состояние 

37500$

 

0703 055 033
","""42.8362""","""74.6252""",https://www.house.kg/details/9169914603c871e9e93c9-80696835,,
"3-комн. кв., 64 м2","Бишкек, 6 м-н 34",$ 49 000,4 155 200 сом,$ 766/м2,64 925 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,208,от собственника,кирпичный,3 этаж из 4,,"64 м2, жилая: 58 м2",,104 серия,центральное,хорошее,есть,проводной,совмещенный,застекленный балкон,,,,,,,,магистральный,,,полностью меблирована,паркет,,,,,,"

                                    Описание от продавца                            
Срочно!!! Продаю 3 к. кв. 58 кв.м. 104 с.
 6 мкр. цена 48 900 $
Продаю 3 комнатную квартиру 104 серии, не угловая
Общая площадь 58 квадратных метров на 3 этаже из 4.   
Пересекает . ул. Юнусалиева/Сухэ-Батора  
•	очень тёплый дом, с хорошим ремонтом 
•	коммуникации все центральные 
•	имеется из зала балкон, + кладовая сделали полки для удобства    
•	сан узел совмещенный, 100% кафель 
•	кв. с мебелью (состояние почти новое) 
•	кв. с бытовой техникой (холодильник, стиральная машина, аристон)  
•	окна пластиковые, выходит на Юг и Запад 
•	кодовый домофон 
•	подъезд ухоженный, двор озелененный  
•	детская игровая зона, дом находится в экологически чистом районе
•	все документы в наличии ( + на ипотеку подлежит)
•	дом расположен отличном месте 
•	отличная транспортная развязка, в любую точку города
                Купи и живи!!!
В шаговой доступности:
Парк «Берёзовая роща», «Ореховая роща», Парк «125 лет»,
COSMO PARK, Ботанический сад, стадион ,Сеть медицинский центр,
Рыно «Орто-сай», банки, обмен бюро, лаборатория «Бонецкого» , салон красоты
 Гип. мар. «GLOBUS», «Фрунзе», аптеки, магазин  и/д…………
 Школы: рядом « Гимназия №56», «Гимназия Алымов  №39» «А.С.Пушкина №17», «Общ.Обр. №3», «Ср. гимназия №26», «Спец. школа №34», «Гимназия  №26».
Детский сады:  рядом прям «14
0», « 33», « 109», « 82»,  муниципальные, частные 
Цена  48 900 $
Тел: +996 755 01 00 40, 500 01 00 20 собственник, не агентство
","""42.8244""","""74.6228""",https://www.house.kg/details/5099426602febed12b586-66819928,,
"Дом, 6 и более комнат, 120 м2","Бишкек, с. Чон-Арык, Бишкек 125 2,4./Семетей",$ 80 000,6 784 000 сом,$ 667/м2,56 533 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,374,от собственника,кирпичный,,2,120 м2,16 соток,,на твердом топливе,требует ремонта,возможно подключение,оптика,раздельный,,,,,,возможно подведение,центральное водоснабжение,есть,нет,,решетки на окнах,частично меблирована,дерево,3 м.,"баня,                                             сад,                                             хозпостройки,                                             гараж,                                             веранда",нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Здравствуйте.У меня есть 2-участка по 8-сотак,документы в порядке,есть свет,вода.На одном участке стоит 2-этажный дом старого проекта.На втором участке не достроенный  дом и сарай.Подайдет для бизнеса или для строительства таунхауса или же особняка.Прошу за два участка 75000$ если же по отдельности то 47000$ а где дом 55000$
","""42.806""","""74.5587""",https://www.house.kg/details/600898460134666ab7362-40079815,,
"3-комн. кв., 103 м2","Бишкек, 6 м-н, Каралаева 64",$ 90 000,7 632 000 сом,$ 874/м2,74 097 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,376,от собственника,"кирпичный, 2018 г.",5 этаж из 10,,"103 м2, жилая: 98 м2, кухня: 16 м2",,элитка,автономное,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,возможно подключение,,видеодомофон,частично меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             встроенная кухня,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаётся 3х комн квартира с евро ремонтом, свежий ремонт, частично Мебель остаётся. Общая площадь 103, жилая 98,5. Отличный район с развитой инфраструктурой.
","""42.8247""","""74.6321""",https://www.house.kg/details/455879460166c4eaac5e9-03283903,,
"3-комн. кв., 67 м2","Бишкек, 5 м-н, 5 микрорайон 30",$ 48 000,4 070 400 сом,$ 716/м2,60 752 сом/м2,Добавлено 5 месяцев назад,Поднято 7 дней назад,609,от собственника,панельный,1 этаж из 4,,"67 м2, жилая: 48 м2, кухня: 5 м2",,104 серия улучшенная,центральное,среднее,есть,проводной,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон",полностью меблирована,линолеум,2.5 м.,"улучшенная,                                             комнаты изолированы,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",нет,,,"

                                    Описание от продавца                            
Подвал, утеплённые стены, переделано отопление, квартира тёплая, требуется косметический ремонт, угловая-утепленная со стороны квартиры по методу термоса.
У нас 104 улучшенная и узаконенное изменение планировки(площадь увеличилась за счет присоединения лоджии к залу -  63,6 + 3,4 = 67 кв. м.), комната не проходная.
Район тихий, спокойный и благополучный. При этом есть все для жизни. Не близко к дорогам и трассам, не слышен постоянный шум машин. Расположение между Набережной и Карла Маркса.  Недалеко есть все для жизни, можно вообще не выезжать в центр:
Школа, садики, магазины и супермаркеты - Бета Сторес, Космопарк, Ортосайский рынок, Фрунзе, Ботанический сад. Развитая инфрастуктура, все в шаговой доступности. Соседи все спокойные. Подвал также на 3 комнаты, можно хранить все что угодно, проводка там есть, включается с нашей квартиры, возможность туда войти есть только у нас, хорош для коммерции, бизнеса, также незаменим как мастерская. Есть погреб со стороны квартиры для хозяйства, вход в погреб с лоджии. Так как угловая и на 1 этаже, может быть полезна для коммерции. Есть возможность увеличить кухню.
Возможность обмена только с квартирой в Сургуте.
","""42.832""","""74.6284""",https://www.house.kg/details/98292665fa824ac444294-73270986,,
"2-комн. кв., 44 м2","Бишкек, Чуй 178/Уметалиева",$ 40 000,3 392 000 сом,$ 909/м2,77 091 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,157,от собственника,кирпичный,2 этаж из 3,,44 м2,,сталинка,,среднее,есть,проводной,совмещенный,нет,бронированная,паркинг,,,,,,магистральный,,"кодовый замок,                                             видеонаблюдение",частично меблирована,ламинат,3.2 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",,есть,,,"""42.8767""","""74.5821""",https://www.house.kg/details/3444731602a5affe82c25-42972430,,
"2-комн. кв., 78 м2","Бишкек, Шоокум 73/с Куйручук",$ 54 000,4 579 200 сом,$ 692/м2,58 708 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,277,от собственника,кирпичный,6 этаж из 10,,"78 м2, жилая: 78 м2, кухня: 15 м2",,элитка,на газе,евроремонт,возможно подключение,оптика,раздельный,,металлическая,паркинг,,,,,,,,домофон,частично меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             встроенная кухня,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаётся 2ком.Квартира с качественным евро ремонтом!(с панорамным видом)
Новом доме (готовность 90%)ж/м Кок-жар
ул.Шоокум 73(2gis).
Дом кирпичный, утеплён базальтом
Лифт работает,подъезды готовы
Отопление: автономная.
Свет,вода,канализация подключены.
Интернет:Акнет,jet.
Дом заселён на 80(+)%
Рядом доступны:гор.дет Сад, школы,супермаркеты.
Площадь: 78кв.м
Этаж:6/10
Цена 54000 тыс$$$$$$$.
По всем интересующим вопросам звонить по номеру:
","""42.8496""","""74.6401""",https://www.house.kg/details/4509523602580570809c2-82213804,,
