title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"3-комн. кв., 109 м2","Бишкек, Коенкозова/Чуйкова",$ 65 000,5 512 000 сом,$ 596/м2,50 569 сом/м2,Добавлено 1 месяц назад,Поднято 1 месяц назад,182,от собственника,монолитный,8 этаж из 10,,"109 м2, жилая: 109 м2, кухня: 13 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,adsl,2 с/у и более,лоджия,нет,паркинг,,,,,,магистральный,,,,,3.2 м.,,,,,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру
Ск Елизавета
ЖК Поларис Плюс
Этаж 8 из 10
Площадь 109, 49
Паркинг
Псо

Цена 65000$

📲 0770429816
📲 0703636638
","""42.8658""","""74.5913""",https://www.house.kg/details/87040566023757b8e2576-59906257,
"1-комн. кв., 38 м2","Бишкек, ул. Фучика 38/2 (пересекает ул. Рыскулова)",$ 20 900,1 772 320 сом,$ 550/м2,46 640 сом/м2,Добавлено 3 месяца назад,Поднято 1 месяц назад,397,от собственника,"кирпичный, 2022 г.",3 этаж из 9,,"38 м2, жилая: 38 м2, кухня: 12 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,проводной,раздельный,нет,бронированная,паркинг,,,,,,автономный,,"домофон,                                             видеонаблюдение",,,2.8 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Жилой комплекс «Береке».
⠀
🔑В продаже 1-2-3 комнатные квартиры в новом строящемся жилом комплексе «Береке».
⠀📍Комплекс находится в западной части города, на пересечении улиц Фучика/Чуй.

Дома жилого комплекса Береке представляют собой ансамбль из 4 домов единого архитектурного стиля этажностью до 9 этажей.
⠀➡️Квартиры характеризуются просторной и удобной планировкой, стен и перегородки из жженного кирпича, четырех камерными металлопластиковыми окнами, выполненными в классическом стиле.
⠀➡️Фасадная отделка жилого комплекса, комбинированная с Травертином (Сары-Таш), утепленная базальтовым волокном.

🔑уютная и просторная планировка;
🔑четырёхкамерные окна;
🔑детская площадка;
🔑workout площадка;
🔑баскетбольная площадка;
🔑просторные лифты;
🔑развитая инфраструктура района.

📌стоимость 1м2 - 550$
📌рассрочка на 28 месяцев
📌первоначальный взнос 30%
📌имеется обмен на авто и недвижимость

📲 0770429816
","""42.8802""","""74.5608""",https://www.house.kg/details/13527935ff7ff3cdef7e7-72718940,
"1-комн. кв., 28.5 м2","Бишкек, Политех, Шота Руставели 44/Сухомлинова",$ 23 000,1 950 400 сом,$ 807/м2,68 435 сом/м2,Добавлено 1 месяц назад,,230,от собственника,кирпичный,1 этаж из 3,,28.5 м2,,хрущевка,центральное,хорошее,,,совмещенный,нет,бронированная,,,,,,,магистральный,,"решетки на окнах,                                             домофон",частично меблирована,дерево,,"пластиковые окна,                                             неугловая,                                             встроенная кухня,                                             удобно под бизнес",нет,есть,,"

                                    Описание от продавца                            
Без посредников продам 1ком кв политех. Агентства недвижимости не беспокоить! Ш.Руставели перес сухомлинова. 1 этаж из 3х. Не угл, окна пласт+решётки, дверь бронь. Остаётся вся мебель. Рядом сш47, дет сады, университеты бгу, манас, политех. Удобное расположение. Идеально под сдачу. В данный момент проживают квартиранты. Цена  23000$. Миниторг. Налом не пугать. Показ до 12.00 и в  вечернее время. 0558002929
","""42.8463""","""74.5839""",https://www.house.kg/details/326916602cbfc8a39293-81963561,
"2-комн. кв., 45 м2","Бишкек, Джал-23 м-н (Нижний Джал)",$ 33 500,2 840 800 сом,$ 744/м2,63 129 сом/м2,Добавлено 1 месяц назад,,121,от агента,панельный,2 этаж из 3,,45 м2,,индивид. планировка,,,,,,,,,,,,,,,,,,,,,,есть,,"

                                    Описание от продавца                            
СРОЧНО! 2к кв 45 м2 евро рем. 2/3 Ахунбаева/Баха 33,5 $ тел: 0708825286
Очень срочно продам! 2 к кв в новом, теплом доме.
Квартира на 2 этаже из 3
Площадь 45м2 
Светлая, уютная квартира с большими окнами. Ремонт сделан светлых тонах.
Санузел совмещенный. 
Отопление электро.
паркинг; огражденный двор 
детская игровая площадка; 
Транспорт в любую точку города. 
В шаговой доступности:
- гипермаркет «Фрунзе»
- школы: гимназия №72; частная ш. «Наима» сш. №55
- ресторан «Улуу-Тоо»
- техникумы № 20
цена: 33 500$ 
Звоните: 0708 825286. 
Покажу в течение 1-2 часов.
","""42.8471""","""74.5583""",https://www.house.kg/details/4664509602cbea01e68c3-99135846,
"2-комн. кв., 70 м2","Бишкек, Золотой квадрат, Боконбаева/Исанова",$ 68 000,5 766 400 сом,$ 971/м2,82 377 сом/м2,Добавлено 1 месяц назад,,197,от агента,кирпичный,6 этаж из 11,,70 м2,,элитка,центральное,евроремонт,,,,застекленный балкон,,,,,,,,,,"охрана,                                             видеонаблюдение",полностью меблирована,ламинат,,кухня-студия,,,,"

                                    Описание от продавца                            
Продаю 2 ком кв (студия) на Боконбаева/Исанова напротив 70 школы. 6 из 11. 70кв.м + балкон. Состояние отличное. Все центральное. Вся мебель в подарок!
Цена 68000$
0700073828
0773382806
","""42.8679""","""74.5904""",https://www.house.kg/details/5051291602cbdf7f2c7e2-94888709,
"1-комн. кв., 32 м2","Бишкек, Таатан, Колбаева 14а/Лермонтова",$ 24 500,2 077 600 сом,$ 766/м2,64 925 сом/м2,Добавлено 1 месяц назад,,152,от собственника,"панельный, 1975 г.",3 этаж из 4,,"32 м2, жилая: 18 м2, кухня: 7 м2",,104 серия,центральное,среднее,возможно подключение,проводной,совмещенный,лоджия,металлическая,гараж,,,,,,магистральный,,"домофон,                                             решетки на окнах",полностью меблирована,дерево,2.7 м.,пластиковые окна,,,обмен не предлагать,"

                                    Описание от продавца                            
Срочнооооооо 🔥💥💥💥💥💥💥 просили 27000$. отдаём 24500$
 

709137915
","""42.8785""","""74.6614""",https://www.house.kg/details/2456239602cbdae8bb652-02717359,
"3-комн. кв., 58.4 м2","Бишкек, Кустанайская 38/25",$ 38 500,3 264 800 сом,$ 659/м2,55 904 сом/м2,Добавлено 2 месяца назад,Поднято 1 месяц назад,263,от собственника,"монолитный, 1972 г.",3 этаж из 4,,"58.4 м2, жилая: 43.5 м2, кухня: 5.8 м2",,104 серия,центральное,хорошее,возможно подключение,проводной,совмещенный,балкон,деревянная,гараж,,,,,,магистральный,,,частично меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
Продается квартира 3.х комнатная в Бишкеке со всеми удобствами, район Киркомстром. 
   В шаговой доступности школа, детский сад и остановка , по близости находится продуктовые магазины ( народный, также империя пиццы).
   Во дворе есть детская площадка.
   В придачу идёт гараж для автомобиля, в гараже имеется погреб.
Реальным клиентам будет уступка.
                  Без рассрочки !
#бишкек.
#кирком
Тел: WA 0755860830
","""42.8707""","""74.512""",https://www.house.kg/details/55049665ffc74af3dfa57-40361543,
"1-комн. кв., 38 м2","Бишкек, Таатан, Ворошилова-Лермонтова",$ 24 500,2 077 600 сом,$ 645/м2,54 674 сом/м2,Добавлено 1 месяц назад,,172,от собственника,"панельный, 1971 г.",3 этаж из 5,,"38 м2, жилая: 18 м2, кухня: 6 м2",,104 серия,центральное,хорошее,есть,,совмещенный,лоджия,бронированная,,,,,,,магистральный,,,полностью меблирована,,2.5 м.,,,,,"

                                    Описание от продавца                            
пласт.рамы, не угл., южная сторона,0 ост. мебель. тихий зеленый двор.

0995 877899
","""42.8786""","""74.6605""",https://www.house.kg/details/9512657602cb94da40df2-42008642,
"Дом, 4-комн., 190 м2","Бишкек, Дордой ж/м, Бишкек ж/м Дордой 9",$ 60 000,5 088 000 сом,$ 316/м2,26 779 сом/м2,Добавлено 1 месяц назад,,94,от собственника,"другое, 2010 г.",,1,"190 м2, жилая: 3 м2, кухня: 1 м2",6 соток,,смешанное,среднее,возможно подключение,,раздельный,,,,,,центральная,центральное водоснабжение,есть,возможно подключение,,,частично меблирована,паркет,260 м.,пластиковые окна,нет,нет,,"

                                    Описание от продавца                            
Срочно продаю дом ж/м дордой
","""42.9287""","""74.6222""",https://www.house.kg/details/3671602602cb76e221788-47888991,
"3-комн. кв., 116.2 м2","Бишкек, ул. Фрунзе 300/3 - Гоголя",$ 99 900,8 471 520 сом,$ 860/м2,72 905 сом/м2,Добавлено 1 месяц назад,,106,от агента,"монолитный, 2019 г.",14 этаж из 18,,"116.2 м2, жилая: 116 м2",,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3х комн. квартиру в ЖК ""Империал""
116.2 м²
Этаж 14 из 18
ПСО через месяц максимум.
Последняя квартира в этом жилом комплексе ""Премиум"" класса, от надёжного застройщика ""Имарат Строй"".
Отличная инфраструктура района (центр). Всё в шаговой доступности. Хорошая транспортная развязка и всё рядом. Больше в этом доме нет квартир в целом. Успейте купить квартиру в шикарном комплексе от подрядчиков.
Цена 99 900$
","""42.8804""","""74.6204""",https://www.house.kg/details/8820082602cb603070d20-73965709,
"1-комн. кв., 45 м2","Бишкек, Асанбай м-н, ул. Аскара Шакирова, 275",$ 38 000,3 222 400 сом,$ 844/м2,71 609 сом/м2,Добавлено 1 месяц назад,,125,от агента,"монолитный, 2017 г.",10 этаж из 14,,45 м2,,элитка,на газе,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 1шку в Английском квартале
45 м²
Верхний этаж
1 этап
Последняя квартира в этом жилом комплексе ""Премиум"" класса, от надёжного застройщика ""Нурзаман"".
Район Асанбая. Отличаня инфраструктура как жилого комплекса, так и района. Хорошая транспортная развязка, элитный район. Рядом школа ""ГазПром"", отель ""Жаннат Резортс"", г/м Глобус и т.д.
Цена 38000
","""42.8198""","""74.6208""",https://www.house.kg/details/5279780602cb561c64375-17567183,
"1-комн. кв., 32 м2",Бишкек,$ 28 500,2 416 800 сом,$ 891/м2,75 525 сом/м2,Добавлено 1 месяц назад,,104,от агента,кирпичный,2 этаж из 3,,32 м2,,хрущевка,центральное,хорошее,,,,,бронированная,,,,,,,,,,,,,,,,,,"""42.8465""","""74.5356""",https://www.house.kg/details/7577592602cb3b9e0b2a5-76590588,
"1-комн. кв., 45 м2",Бишкек,$ 33 500,2 840 800 сом,$ 744/м2,63 129 сом/м2,Добавлено 1 месяц назад,,104,от агента,панельный,1 этаж из 9,,45 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 1шку в мкр. Улан 2.
45 м2, Этаж 1 из 9. С ремонтом. Хорошее состояние. Не угловая.
Цена: 33500$
Тел.:0555001166
","""42.8451""","""74.6478""",https://www.house.kg/details/4232982602cb12f4490d9-13064499,
"1-комн. кв., 44 м2","Бишкек, Улан-2 м-н, 7 апреля 130/2",$ 32 000,2 713 600 сом,$ 727/м2,61 673 сом/м2,Добавлено 4 месяца назад,Поднято 1 месяц назад,3326,от собственника,"монолитный, 2020 г.",8 этаж из 9,,44 м2,,106 серия улучшенная,электрическое,евроремонт,,проводной,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,,частично меблирована,ламинат,,,,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продается 1 комнатная квартира, 106 серии, в г. Бишкек по адресу: мкр. Улан-2.Дом монолитный, кирпичный. Квартира находится на 8 этаже, не угловая. Дом новый, 2019года постройки. Общая площадь — 44м2, площадь кухни – 14м2, зал – 23 м2. Евро ремонт. Кухонный гарнитур,  Комнаты изолированные, шикарный ремонт. Делали для себя. Заходи и живи.
В шаговой доступности: детский сад, школа, автопарковка, магазины. Удобная транспортная доступность. Доступ солнца в комнаты(светло и уютно).  Спокойные доброжелательные соседи. Единственный собственник. Стоимость 32000тыс долл. США
","""42.8445""","""74.6338""",https://www.house.kg/details/22127955fcf9d935b21b6-24323600,
"Дом, 4-комн., 103 м2",Бишкек,$ 107 000,9 073 600 сом,$ 1 039/м2,88 093 сом/м2,Добавлено 3 месяца назад,Поднято 1 месяц назад,422,от собственника,кирпичный,,1,103 м2,,,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю уютный большой дом 
4 комнаты
Район Жибек-Жолу/К

Участок 9 соток на красной книге
Площадь дома 103 кв.м 
Есть 2 этажная сауна 
Газ, 3 фазы , центральная канализация, скважина!
Ухоженный зелёный двор
Навес для авто, двор брусчатка
Цена 107 000 $
Торг с реальным покупателем при осмотре 
0550 52 00 16/ 0704 52 56 24
","""42.8872""","""74.6208""",https://www.house.kg/details/41638565ff6db1dcf5393-90114310,
"1-комн. кв., 56 м2","Бишкек, Московская 191/Уметалиева",$ 48 500,4 112 800 сом,$ 866/м2,73 443 сом/м2,Добавлено 1 месяц назад,Поднято 1 месяц назад,273,от собственника,монолитный,5 этаж из 12,,"56 м2, жилая: 40 м2, кухня: 16 м2",,элитка,центральное,евроремонт,есть,проводной,совмещенный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,полностью меблирована,паркет,3 м.,кондиционер,,,,"

                                    Описание от продавца                            
Продаю 1 кв. 56 кв. 5 этаж из 12.  С ремонтом и мебелью и бытовой техникой.  Центр.  отопление, газ, техпаспорт. дом на красной книге.В эксплуатацию введен. Очень перспективный район.  0709033186 0556775777
","""42.8721""","""74.6019""",https://www.house.kg/details/936660060239e07d9cd97-08918395,
"2-комн. кв., 38.8 м2","Бишкек, Аламедин-1 м-н, Кольбаева 36",$ 28 000,2 374 400 сом,$ 722/м2,61 196 сом/м2,Добавлено 1 месяц назад,,152,от собственника,кирпичный,2 этаж из 4,,38.8 м2,,индивид. планировка,,среднее,есть,,совмещенный,балкон,деревянная,,,,,,,нет,,,частично меблирована,линолеум,,,,,,,"""42.8772""","""74.6748""",https://www.house.kg/details/9593691602c59abcf3d43-84332186,
"Дом, 6 и более комнат, 180 м2","Бишкек, Алтын-Ордо ж/м",$ 123 000,10 430 400 сом,$ 683/м2,57 947 сом/м2,Добавлено 3 месяца назад,Поднято 1 месяц назад,354,от собственника,кирпичный,,2,180 м2,4.5 соток,,центральное,евроремонт,есть,,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,3 м.,,нет,нет,рассмотрю варианты,,"""42.8528""","""74.6725""",https://www.house.kg/details/40221075ff208b17046e3-11475770,
"Коммерческая недвижимость, 70 м2","Бишкек, Кок-Жар ж/м, Шоокум 90/1/7 Апреля",$ 70 000,5 936 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 6 месяцев назад,Поднято 1 месяц назад,564,от собственника,"кирпичный, 2019 г.",,9,70 м2,1 соток,,центральное,среднее,возможно подключение,оптика,,,,,,,,,,,,видеонаблюдение,,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаем коммерческое помещение на Первом этаже жилого дома.
Все коммуникации центральные!
Площадь 70м2, 2 комнаты, санузел, панорамное окно.
Цена 1000$/м2. Варианты...
т. в/а 0990-082-088; 0509-082-088
","""42.8504""","""74.635""",https://www.house.kg/details/17496665f6c3d6c219326-88236661,
"Дом, 6 и более комнат, 100 м2","Бишкек, Ак-Босого ж/м, Чагая .нижняя ала арча 139/Колхозная",$ 47 000,3 985 600 сом,$ 470/м2,39 856 сом/м2,Добавлено 1 месяц назад,,221,от собственника,"кирпичный, 1990 г.",,1,"100 м2, кухня: 30 м2",8 соток,,на газе,,,,,,,,,,,,,,,"кодовый замок,                                             видеонаблюдение",,,3 м.,"пластиковые окна,                                             бассейн,                                             сад,                                             хозпостройки,                                             навес,                                             сауна,                                             веранда,                                             3 фазы",нет,есть,с доплатой продавца,"

                                    Описание от продавца                            
Продаю добротный дом без ремонта ..заходи и живи ..роен нижняя ала арча ..рядом школа детский сад больница магазин .
","""42.9222""","""74.5986""",https://www.house.kg/details/3855160602c2a22299555-47181105,
"3-комн. кв., 90 м2","Бишкек, Джал 15 м-н 30",$ 65 000,5 512 000 сом,$ 722/м2,61 244 сом/м2,Добавлено 1 месяц назад,,1214,от собственника,"кирпичный, 1998 г.",4 этаж из 6,,"90 м2, кухня: 15 м2",,индивид. планировка,центральное,хорошее,есть,оптика,раздельный,застекленный балкон,металлическая,рядом охраняемая стоянка,,,,,,нет,,,частично меблирована,,3 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             улучшенная",,,,"

                                    Описание от продавца                            
Срочно продаю 3ХКОМН квартиру в кирпичном доме, финский проект, индивидуальный проект. Дом очень тёплый, быстро развивающийся район
Реальным клиентам уступлю
","""42.8455""","""74.5638""",https://www.house.kg/details/8991538602c1c412543d7-99878301,
"5-комн. кв., 168 м2","Бишкек, Рабочий Городок, Садырбаева 1/5/Баха",$ 56 000,4 748 800 сом,$ 333/м2,28 267 сом/м2,Добавлено 1 месяц назад,,143,от собственника,"кирпичный, 2020 г.",9 этаж из 10,,"168 м2, кухня: 23 м2",,пентхаус,центральное,под самоотделку (псо),возможно подключение,проводной,2 с/у и более,балкон,бронированная,рядом охраняемая стоянка,,,,,,,,,пустая,,,,нет,нет,с доплатой покупателя,"

                                    Описание от продавца                            
✔️Адрес: Садырбаева 1/5 (Гагарина/Баха)
✔️Этажность: 9-10
✔️Площадь: 168 м2
✔️Застройщик: Аска-Курулуш
✔️Отопление центральное
✔️Документы: ДДУ (нотариально заверенная)
✔️Под ПСО
✔️5 комнат, 4 балкона

Окна смотря на запад, панорамный вид обеспечивает отличный вид особенно при восходе и закате солнца. Район рабочего городка очень перспективный и быстро развивающийся, именно там и находятся наши апартаменты. Очень тихий и благоприятный район, находящийся в относительной близости от центра города. Отлично подойдет для больших семей. 

Цена: 56.000$💵

Реальному клиенту хороший торг, возможен бартер на авто.
","""42.8536""","""74.5572""",https://www.house.kg/details/6131873602c1c0f99d780-98780507,
"Дом, 6 и более комнат, 5 м2","Бишкек, Дордой ж/м",$ 70 000,5 936 000 сом,$ 14 000/м2,1 187 200 сом/м2,Добавлено 1 месяц назад,,75,от собственника,"другое, 2008 г.",,1,5 м2,,,смешанное,,,,,,,,,,,центральное водоснабжение,есть,,,,,дерево,,,,,,"

                                    Описание от продавца                            
Продаю дом можно и под бизнес. Около трассы. В районе дордой. Рядом базар, авто запчасти. Подробнее по телефону.
","""42.946""","""74.627""",https://www.house.kg/details/5773763602c0445371b12-53020531,
