title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды
"1-комн. кв., 40 м2","Бишкек, Чуй 9/2/АУЭЗОВА",$ 29 500,2 501 600 сом,$ 738/м2,62 540 сом/м2,Добавлено 3 месяца назад,,238,от собственника,"монолитный, 2019 г.",3 этаж из 11,,40 м2,,элитка,центральное,евроремонт,есть,проводной,раздельный,,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Срочно Продаётся 1 Комнатная Квартира
","""42.8737""","""74.6929""",https://www.house.kg/details/37746175fee46546ac716-02782502,
"3-комн. кв., 112 м2","Бишкек, Медерова 8/1/Юнусалиева",$ 90 000,7 632 000 сом,$ 804/м2,68 143 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,260,от собственника,"кирпичный, 2014 г.",12 этаж из 12,,"112 м2, кухня: 15 м2",,индивид. планировка,центральное,евроремонт,есть,проводной,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",пустая,ламинат,2.9 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю или меняю
","""42.8515""","""74.625""",https://www.house.kg/details/58525095fe6f123df1559-03590281,
"3-комн. кв., 64 м2","Бишкек, Верхний Джал м-н, MASALIEVA MASALIEVA NO 43 K 41/MASALIEVA NO 43 K 41",$ 69 000,5 851 200 сом,$ 1 078/м2,91 425 сом/м2,Добавлено 3 месяца назад,,200,от собственника,"кирпичный, 2018 г.",9 этаж из 10,,"64 м2, жилая: 3 м2, кухня: 1 м2",,элитка,электрическое,евроремонт,есть,adsl,,нет,металлическая,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",частично меблирована,ламинат,,пластиковые окна,есть,есть,,"

                                    Описание от продавца                            
Продаётся квартира в новом доме. Хороший район, рядом парк, квартира смотрит прямо на магистрал, вид с окна очень красивый .🔥 По плану квартира двух комнатная мы переделали в трёх комнатную добавили детскую комнату.😊 Ремонт в доме очень хороший все материалы дорогие делали для себя от души.😊Есть бытовая техника тоже самая качественная👌
Площадь  КВ 64м2
Квартира на 9 этаже 
Номер 0555356161
","""42.8374""","""74.5662""",https://www.house.kg/details/45157035fee09ae6835f8-44407791,
"3-комн. кв., 89 м2","Бишкек, Джал 15 м-н 30",$ 60 000,5 088 000 сом,$ 674/м2,57 169 сом/м2,Добавлено 3 месяца назад,,843,от собственника,"кирпичный, 1998 г.",2 этаж из 6,,"89 м2, кухня: 15 м2",,индивид. планировка,центральное,хорошее,есть,оптика,раздельный,лоджия,металлическая,рядом охраняемая стоянка,,,,,,нет,,домофон,частично меблирована,ламинат,2.75 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Индивидуальный проект, 3-х комнатная, просторная и уютная квартира. Большая кухня (15 Кв. м) два больших коредора. Дом кирпичный. Год постройки 1991.  (Контакты хозяина 0558495009, )
От собственника, торг уместен.
","""42.8457""","""74.5638""",https://www.house.kg/details/79399915fedb0fd1c20a9-99596079,
"3-комн. кв., 155 м2","Бишкек, Сыдыкова-Уметалиева угол",$ 110 000,9 328 000 сом,$ 710/м2,60 181 сом/м2,Добавлено 3 месяца назад,,207,от собственника,кирпичный,2 этаж из 9,,155 м2,,элитка,центральное,евроремонт,,,2 с/у и более,,,,,,,,,,,"домофон,                                             охрана,                                             видеонаблюдение",,ламинат,,улучшенная,,,,"

                                    Описание от продавца                            
Мы приглашаем вас окунуться в сказочный мир в прямом смысле этого слова!

В одном королевстве с чудным названием ""Golden Квадрат""(ул.Сыдыкова пересекает Уметалиева угол)жила была 3 комнатная элитная квартира-принцесса с площадью:155кв м2.Король очень любил свою маленькую принцессу и заботился о ней во 2 этаже из 9 самым наилучшим образом.
*На входе установил прочные двери чтобы никто не беспокоил его маленькую принцессу-не излишние шумы,не прохлада зимы,не зной лета.Так как король считал,что у принцессы должно быть все самое лучшее,он установил межкомнатные двери из натурального дерева!
*Окны новые надежные которые обеспечивают комфортный микроклимат в любую пору года.
*В кухне сделал ей  фартучек из красивой,в нежных постельных тонах изящной плитки,чтобы его девочка всегда выглядела опрятно,да и за фартуком легче ухаживать,если он вдруг испачкается).Купил для него современную кухонную мебель в классическом стиле-классика всегда останется в моде и будет актально всегда.
*Сан узел же требовал самого лучшего ухода и гигиены их было 3 (три сан узла)поэтому король поставил там новую удобную ванну и 《одел》в прелестную плитку,теперь задача с гигиеной и красотой решена
*На полу король застелил качественный ламинат,в коридоре и кухне линолеум.И это самое правильное решение короля,так как эти материялы позволяют экономить время при наведении чистоты и порядка.
~Да и место где расположились наши король и принцесса было выбрано с особой тщательностью.Дом окружает волшебная инфраструктура,который богат изобилием сюрпризов и подарков.В нем много тропинок где можно насладится единением с природой,отдохнуть вобрать в себя всю его чистоту.А еще в этом районе приютился волшебная Площадь и Филармония,Парк панфилова и многое многое другое, после посещение которого каждый можно почувствовать себя заново родившимся.В нем живут эльфы которые купают своих посетителей магических ваннах,разными развлечениями,колдуют над телом,поят чудодейственными напитками.А зубные феи оказывает помощь всем,кому она нужна.Там же по вечерам филармоний почти каждый день для жителей этих волшебных мест проходят балы.А если кто-то из жителей хочет просто отдохнуть на природе,то он просто может пройти к парку Панфилова и присесть на скамеечку любуясь открывшимся необычайно прекрасным зрелищем,или покормить голубей-они почти ручные.

А добратся до этого чудесного места очень просто.Если есть личная карета то от верхней части города соседнего королевства под названием Южные микрорайоны это займет примерно15-20.А если таковой нет,то можно добратся на наемной белом Мерседесе с личным водителем под номерами 243,212,148,и т.д либо на волшебном драконе-тралейбусе,который ездит более примерно 10,15 раз в день.

Но пришла пора королю,уехать в дальние страны.И он стал искать того,кто сможет ухаживать за его принцессой,любить ее также как он.И взамен новый хозяйн сможет насладится всеми теми прелестями волшебного-королевства которые так щедро предоставляет.Многие места король не стал фотографировать,так как все ценное в этом мире не доступно,ведь лучше всего самой увидеть глазами

Цена этой принцессы:110 000$
Ну как только решитесь стать королем или королевой звоните))

0777077677
0777551001
0556190698 ARGEN
","""42.8739""","""74.5937""",https://www.house.kg/details/80972445fed8e4b41b5f0-01358482,
"3-комн. кв., 91 м2","Бишкек, Асанбай м-н",$ 60 000,5 088 000 сом,$ 659/м2,55 912 сом/м2,Добавлено 2 года назад,Поднято 3 месяца назад,1720,от собственника,"монолитный, 1991 г.",8 этаж из 18,,"91 м2, жилая: 70 м2",,106 серия,центральное,хорошее,есть,проводной,раздельный,лоджия,металлическая,,,,,,,нет,,,,линолеум,,,нет,нет,,"

                                    Описание от продавца                            
3 комнатная ква́ртира в Мкр Асанбай, все в шаговой доступности, парки, глобус, рощи, рынки больницы... торг с реальными покупателями при осмотре телефон
 0558666026  Можно вотсап
","""42.8211""","""74.6205""",https://www.house.kg/details/7387755d32f36d378574-01434066,
"4-комн. кв., 76 м2","Бишкек, Кольбаева 19",$ 53 000,4 494 400 сом,$ 697/м2,59 137 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,279,от собственника,кирпичный,1 этаж из 4,,76 м2,,индивид. планировка,центральное,евроремонт,возможно подключение,оптика,раздельный,нет,металлическая,,,,,,,,,"решетки на окнах,                                             домофон",частично меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             тихий двор,                                             удобно под бизнес",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продается 4-х комнатная квартира,индивидуальная планировка,квартира находится в районе Ворошилова/Лермонтова,на 1ом этаже, все в шаговой доступности,маркет Фрунзе в 50 метрах от дома,сделан качественный ремонт, на окнах решетки, с двух сторон имеется огороженный полисадник,проложена полностью новая Турецкая проводка,полы-Российский ламинат,окна Турецкие,полностью новая сантехника,сан узел раздельный,комнаты изолированы.Частично с мебелью.Возможен обмен на частный дом.
","""42.8797""","""74.6618""",https://www.house.kg/details/54648355fe48f840616c1-71848071,
"Участок, 3 соток","Бишкек, Кара-Жыгач ж/м, Ыссык-Кол 37а",$ 38 500,3 264 800 сом,,,Добавлено 3 месяца назад,,214,от собственника,,,,,3 соток,,,,,,,,,,"свет,                                             газ,                                             отопление,                                             вода,                                             канализация",вдоль трассы,,,,,,,,,,"хозпостройки,                                             времянка,                                             все документы",,,обмен не предлагать,"

                                    Описание от продавца                            
Полностью сделали ремонт. Рядом школа, спортивный комплекс, садик, городской каток, маршрутка 179, 251 ехдят.
","""42.8623""","""74.6598""",https://www.house.kg/details/55728255fed67510b3033-11171216,
"Дом, 6 и более комнат, 240 м2","Бишкек, Ынтымак ж/м, Калкагар",$ 235 000,19 928 000 сом,$ 979/м2,83 033 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,557,от собственника,кирпичный,,1,240 м2,8 соток,,смешанное,хорошее,есть,проводной,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,паркет,,,,,с доплатой покупателя,"

                                    Описание от продавца                            
Продается добротный  1-этажный  дом с площадью 240 кв.м:
 - в элитном и экологически чистом районе ж/м Ынтымак, от 8 Баха по счету четвёртая улица (ул..Калкагар)
-участок 8 соток размер 20x40
-ориентир (Царское село, Киргизия-1) Имеются все разрешительные документы. Собственник!
 В доме 4 спальных комнат, 1 большой зал, большая гостиная, коридор 2 санузла, 1 большая кухня,очок кана.
 Строили для себя с душой:
-Ремонт сделан качественно из качественных строй. материалов! Часть мебели встроена. 
-сейсмостойкость фундамента на высшем уровне -дом стоит на 14 железобетонных лапках с глубиной на 1.5 метра;
-толщина стен в 2 кирпича+утепление;
-5ти камерные качественные окна, отличная шумоизоляция, не пропускает холод;
- полное половое отопление 3ф+твердое топливо;
-центральная канализация; -высокоскоростной кабельный интернет Акнет,АлаTV;
-большой двор проложен брусчаткой;
-двор вмещает 6 автомобилей;
-участок огорожен, заборы высокие, железные ворота;
-имеется видеонаблюдение;
-домофон;
-большой навес
-хоз.постройки.
Проблем с водой нет ни летом, ни зимой, можно спокойно ухаживать за садом и огородом.

В районе имеются частные хорошие детские сады, школы и большой стадион.  Улица просторная, лишние машины не проезжают.
 Обжитый, тихий район со своей инфраструктурой. Соседи спокойные, дружные. Воздух чистый, горный, что полезно для здоровья. 

Рассматривается обмен на 3-х комнатную элитку с доплатой мне.
Стоимость $ США. Будет хороший торг, для реальных покупателей
","""42.8121""","""74.5687""",https://www.house.kg/details/5645415fbe4e92de5908-71670981,
"3-комн. кв., 64 м2","Бишкек, 7 м-н",$ 52 000,4 409 600 сом,$ 813/м2,68 900 сом/м2,Добавлено 3 месяца назад,,388,от собственника,кирпичный,8 этаж из 9,,64 м2,,105 серия,центральное,хорошее,,,,,,,,,,,,,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
Продается 3 х комнатная квартира.
(квартира рядом с сушилкой ,в перспективе можно расширить)
Расположена по Жукеева- Пудовкина в 7 мкр.
Общая площадь 64 м²
105 серия  угловая 
8 этаж 9 *
Коммуникации центральные, газ
Мебель все остаётся
Цена : 52000$ 

Дополнительно: кафе,рестораны, магазины,аптеки ,школы ,сады ,и мн.др 
Транспортная развязка развита
","""42.8306""","""74.6142""",https://www.house.kg/details/50332245feceef2c8b416-35898416,
"Коммерческая недвижимость, 120 м2",Бишкек,$ 180 000,15 264 000 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 3 месяца назад,,291,от собственника,"кирпичный, 2013 г.",,1,120 м2,,,центральное,среднее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю Офис 120м2. 
в Золотом квадрате
ул.Московская//Исанова

Офис находится на 2м этаже жилого дома по первой линии, с отдельным входом с ул.Исанова.

СК Capstroy.kg
Год постройки - 2013.
Документы - техпаспорт на руках.
Общая площадь - 120м2.
Количество комнат - 4.
Кухня -1.
Комната - охраны.
Тип строения - кирпич.
Комуникации - центральные.
Состояние - среднее.
Санузел - 1.
Отлично подойдет для Стоматологии
Салона красоты и т.д...

Цена - $1500м2 торгуемо

Вся инфраструктура в шаговой доступности.Транспорт во все стороны города
","""42.8701""","""74.5911""",https://www.house.kg/details/97046295fece9e4c28f89-31254690,
"3-комн. кв., 60 м2","Бишкек, 8 м-н",$ 53 500,4 536 800 сом,$ 892/м2,75 613 сом/м2,Добавлено 3 месяца назад,,291,от собственника,кирпичный,5 этаж из 5,,60 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаётся 3х комнатная квартира!
8мкр

Общая площадь-60м2
Этаж-5/5
Серия-индивид
Коммуникации все центральные 
2 лоджии застеклённые 
В подъезде пластиковые окна крыша после ремонта

Цена: 53500$
","""42.8332""","""74.6115""",https://www.house.kg/details/62334065fece1b196cd08-62862075,
"3-комн. кв., 87.6 м2",Бишкек,$ 135 000,11 448 000 сом,$ 1 541/м2,130 685 сом/м2,Добавлено 3 месяца назад,,247,от собственника,"кирпичный, 2015 г.",8 этаж из 12,,87.6 м2,,элитка,центральное,евроремонт,,,2 с/у и более,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю 3х Комнатная
Квартиру (Студия) 
 Токтогулла / Коенкозова 
Общая площадь - 87,6 м2 
Санузел- 2 
Застройщик - Имарат Строй (2015)
Коммуникации- центральные (газ уже подключён ) 
Техпаспорт на руках в залоге и в аресте Не состоит 

Квартира продаётся со встроенной мебелью,хороший панорамный вид ,рядом ТЦ «Бишкек Парк» развитая инфраструктура 
Цена : 135 тысяч долларов
","""42.8725""","""74.593""",https://www.house.kg/details/13848245fecdfd8232c40-04751964,
"3-комн. кв., 74 м2","Бишкек, 7 м-н",$ 63 000,5 342 400 сом,$ 851/м2,72 195 сом/м2,Добавлено 3 месяца назад,,531,от собственника,кирпичный,4 этаж из 9,,"74 м2, жилая: 64 м2",,106 серия,центральное,евроремонт,,,,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру.
Со стороны с сушилки ,сушилка в личном использование,перекрыта .

Расположена в 7 мкр по Жукеева-Пудовкина.
106 серия угловая утеплена
Общая площадь 74 жилая площадь 64 м²
4 этаж 9 
Коммуникации центральные,газ есть 
Мебель частично*
Состояние отличное
Цена 63000$ 

Все шаговой доступности транспортная развязка развита
","""42.8245""","""74.6179""",https://www.house.kg/details/9603325fecdbd78c2b58-14481342,
"Дом, 4-комн., 80 м2","Бишкек, Учкун ж/м, 1 1/1",$ 45 000,3 816 000 сом,$ 563/м2,47 700 сом/м2,Добавлено 10 месяцев назад,Поднято 3 месяца назад,662,от собственника,"другое, 2015 г.",,1,80 м2,,,автономное,среднее,есть,проводной,,,,,,,септик,центральное водоснабжение,есть,магистральный,,,,,2.8 м.,веранда,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю дом в г.Бишкек 
участок 4 сотки, 4-комнатный,
техпаспорт, красная книга есть, газ, септик, отопление. Скором времени центральную улицу объединят с Проспектом Чуй 
Адрес: Свердловский район ж/м Учкун 
Конечная 172-маршрутки 
Торг уместен, возможен обмен на квартиру 
","""42.8691""","""74.7061""",https://www.house.kg/details/62220015ebff4892fdd81-75073392,
"3-комн. кв., 64 м2","Бишкек, 7 м-н",$ 52 000,4 409 600 сом,$ 813/м2,68 900 сом/м2,Добавлено 3 месяца назад,,172,от агента,панельный,8 этаж из 9,,64 м2,,105 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3 х комнатная квартира.
(квартира рядом с сушилкой ,в перспективе можно расширить)
Расположена по Жукеева- Пудовкина в 7 мкр.
Общая площадь 64 м²
105 серия  угловая 
8 этаж 9 *
Коммуникации центральные, газ
Мебель все остаётся
Цена : 52000$ 
0555285895 алия 

Дополнительно: кафе,рестораны, магазины,аптеки ,школы ,сады ,и мн.др 
Транспортная развязка развита
фото по воц
","""42.8287""","""74.6179""",https://www.house.kg/details/90943945fec94a3747fa4-35703623,
"2-комн. кв., 50 м2","Бишкек, Асанбай м-н 48",$ 41 000,3 476 800 сом,$ 820/м2,69 536 сом/м2,Добавлено 3 месяца назад,,423,от собственника,панельный,5 этаж из 5,,50 м2,,105 серия,центральное,,,,,,,,,,,,,,,,,,,,,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продается 2х комнатная квартира в микрорайоне Асанбай!

📌Серия 105
📌5й этаж из 5.

📌Все коммуникации центральные. 

В пешей доступности есть: школы, детские сады, фитнес клубы, аптеки и др.

📌 Стоимость: 41000$

По всем вопросам звоните или пишите (WhatsApp) на номер 0755 857 777
","""42.818""","""74.625""",https://www.house.kg/details/34038745fec6b603d1b33-62370067,
"Участок, 4.5 соток","Бишкек, Ак-Тилек ж/м, Кайынды 56/Дорожный переулок",$ 20 500,1 738 400 сом,,,Добавлено 3 месяца назад,,395,от собственника,,,,,4.5 соток,,,,,,,,,,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация",,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю участок в районе Тополек, 500 метров от Совесткой. Имеется газ, центральная канализация, свет и тп. Участок единственный пустой на этой улице. Вокруг все обустроены дома. Улица обсыпана камнями. То есть все отлично условия для комфортного проживания. Более подробную информацию можете получить по ниже указанному номеру.
","""42.9167""","""74.6179""",https://www.house.kg/details/29166345fec56cd748882-72351522,
"Дом, 6 и более комнат, 175 м2","Бишкек, Бектенова 20/Между Карасаева и  Горького",$ 160 000,13 568 000 сом,$ 914/м2,77 531 сом/м2,Добавлено 3 месяца назад,,282,от собственника,кирпичный,,1,175 м2,4 соток,,смешанное,хорошее,есть,проводной,раздельный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,линолеум,,"баня,                                             пластиковые окна,                                             сауна,                                             3 фазы",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю большой уютный дом,без абсолютно никаких вложений. Соседи добрыe и надежные,район Ташрабата рядом есть абсолютно все от А до Я. Рассмотрю варианты обмена на квартиру с доплатой мне. Двор крытый,есть сауна,комнаты большие,дом теплый газовое отопление + 3-х фазка. Остальные вопросы по телефону
","""42.8552""","""74.6211""",https://www.house.kg/details/24221765fec422525b0f0-83174399,
"Коммерческая недвижимость, 255 м2",Бишкек,$ 400 000,33 920 000 сом,$ 1 569/м2,133 020 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,380,от агента,"кирпичный, 2017 г.",,13,255 м2,,,электрическое,хорошее,есть,проводной,,,,,,,,,,,,"сигнализация,                                             охрана,                                             видеонаблюдение",,,2.8 м.,,нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продается МЕД ЦЕНТР + Помещение 255м2 (действующий и готовый бизнес)
Район ДЖАЛ по ул. Ахунбаева первая линия 1-этаж
Полностью функционирует
Отделения:
-Стоматология
-Педиатрия
-Лаборатория Бонецкого
-Аптека и младший мед персонал.
Из оборудования:
-Панорамный рентген
-Прицельный рентген
-Стоматологические кресла 6 шт.
-Стерилизаторы и многое другое включая мебель

~Все оборудование остается с мед персоналом~
Есть гостевая парковка на 20 мест

Площадь помещения 255м2

Все подробности только при встрече
","""42.8437""","""74.5725""",https://www.house.kg/details/29347595fec0cb6c51829-71658196,
"2-комн. кв., 65 м2","Бишкек, К.Акиева-Жумабека",$ 40 000,3 392 000 сом,$ 615/м2,52 185 сом/м2,Добавлено 3 месяца назад,,428,от собственника,"монолитный, 2020 г.",5 этаж из 10,,65 м2,,элитка,на газе,под самоотделку (псо),возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,,,2.5 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю квартиру в ЖК Мурас от СК Роял констракшн
2х комнатная квартира 65 м2 ПСО 
Комнаты раздельные
Тихий двор 
Тихий центр
С парковкой проблем нет
Адрес: Фрунзе пер. Калык Акиева
Цена 40000 мини торг
","""42.8833""","""74.5786""",https://www.house.kg/details/58628825fec139d2f2108-72620866,
"1-комн. кв., 39 м2","Бишкек, Асанбай м-н, мкрн Асанбай, 52/3",$ 34 500,2 925 600 сом,$ 885/м2,75 015 сом/м2,Добавлено 3 месяца назад,,237,от собственника,"монолитный, 2018 г.",8 этаж из 11,,39 м2,,элитка,на газе,евроремонт,возможно подключение,оптика,раздельный,застекленный балкон,,,,,,,,магистральный,,,частично меблирована,паркет,3 м.,,,есть,,"

                                    Описание от продавца                            
Продаю 1-ком. квартиру  в экологически чистом  районе, возле АУЦА. Новый элитный дом  от ск TS Group, Жилой дом ""Саймалуу Таш"" по Токомбаева (Юж.Магистраль) напротив мкр. ""Асанбай"".  Квартира находится на 8 этаже  из 11,  с ремонтом , санузлы раздельные, отопление газовое, два лифта.
Документы на стадии выдачи!
","""42.8131""","""74.6268""",https://www.house.kg/details/15250165fec12454a6896-20371962,
"1-комн. кв., 45 м2","Бишкек, Ахунбаева 165/Токтоналиева (Душанбинка)",$ 34 000,2 883 200 сом,$ 756/м2,64 071 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,264,от собственника,"монолитный, 2020 г.",4 этаж из 12,,45 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,,совмещенный,нет,бронированная,паркинг,,,,,,магистральный,,,пустая,,3 м.,пластиковые окна,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается однокомнатная квартира в новом доме в районе Политеха (Ахунбаева - Токтоналиева, между Мира и Душанбинкой).
Дом кирпичный, абсолютный новый, 12 этажей. Уже установлены лифты, центральное отопление, центральная канализация, центральная горячая и холодная вода. Во дворе планируется детская площадка. Имеются парковочные места. В пошаговой близости - парки, супермаркеты, школы, детские сады, 3 университета (Политех, БГУ, Манас), транспортная развязка. 
Застройщик - ZALKAR Строй Инжиниринг - (официально 10 лет, по факту 20 лет опыта).  На последнем этаже - офис самой компании. 
Квартира - под самоотделку. Площадь - 45,3 кв.м., 4 этаж.  В квартире установлены 3-х камерные окна и бронированная дверь. Окна выходят на северную и восточную части (на тихую часть). 

Цена: 34000$ (разумный торг уместен). Обмен не предлагать.
Подробности по телефону: 0708-76-55-28 или 0707-08-10-66
","""42.8438""","""74.5908""",https://www.house.kg/details/75098315febec0d4f1d73-28104409,
"Дом, 6 и более комнат, 144 м2","Бишкек, Рабочий Городок, рабочий городок",$ 91 000,7 716 800 сом,$ 632/м2,53 589 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,400,от собственника,кирпичный,,,144 м2,,,,под самоотделку (псо),,,,,,,,,септик,центральное водоснабжение,есть,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю только построенный дом (псо) 2 этажа (мансарда) район рабочего городка 144м² + подвал с отдельным входом 12м². Участок 4,2 сотки, новый септик, возможность подключения центральной канализации. Строился для себя, на материалах не экономили. Расположение удобное, тупиковая не проезжая улица. Соседи хорошие и отзывчивые. Возможность приобретения соседского участка для расширения. Цена 91000$ торг минимальный. 0550109915
","""42.8585""","""74.5676""",https://www.house.kg/details/49546435fe32fc5b94127-26408471,
"2-комн. кв., 67 м2","Бишкек, Асанбай м-н, Токомбаева 5Б",$ 57 000,4 833 600 сом,$ 851/м2,72 143 сом/м2,Добавлено 3 месяца назад,,546,от собственника,"кирпичный, 2020 г.",6 этаж из 10,,"67 м2, кухня: 11 м2",,элитка,автономное,евроремонт,нет,,совмещенный,балкон,,,,,,,,магистральный,,"домофон,                                             охрана",полностью меблирована,ламинат,3 м.,"пластиковые окна,                                             кухня-студия,                                             встроенная кухня",нет,нет,,,"""42.8122""","""74.6307""",https://www.house.kg/details/38153555feb65ef0fa483-21476445,
"2-комн. кв., 84 м2","Бишкек, 12 м-н",$ 50 000,4 240 000 сом,$ 595/м2,50 476 сом/м2,Добавлено 3 месяца назад,,262,от собственника,"монолитный, 2017 г.",2 этаж из 14,,84 м2,,элитка,центральное,под самоотделку (псо),,,,,бронированная,паркинг,,,,,,,,,,,3.2 м.,,,есть,,"

                                    Описание от продавца                            
цена 600$ за м2
","""42.8153""","""74.6372""",https://www.house.kg/details/26733075feb623f941c47-97434785,
"Дом, 6 и более комнат, 360 м2","Бишкек, Пожарского 20",$ 240 000,20 352 000 сом,$ 667/м2,56 533 сом/м2,Добавлено 10 месяцев назад,Поднято 3 месяца назад,845,от собственника,"кирпичный, 2000 г.",,3,360 м2,4 соток,,на газе,хорошее,,,,,,,,,,,,,,,,,,,,,рассмотрю варианты,,"""42.8609""","""74.5884""",https://www.house.kg/details/84558815edfb25c6e3c04-92283204,
"Дом, 6 и более комнат, 600 м2",Бишкек,$ 350 000,29 680 000 сом,$ 583/м2,49 467 сом/м2,Добавлено 10 месяцев назад,Поднято 3 месяца назад,1653,от собственника,"кирпичный, 2017 г.",,4,600 м2,,,смешанное,под самоотделку (псо),,,,,,,,,,,,магистральный,,,,,3 м.,,,,,,"""42.8227""","""74.5824""",https://www.house.kg/details/25671515ed47bcb6e96b1-18621158,
"1-комн. кв., 40 м2","Бишкек, Джал-29 м-н, Жайыл Баатыра 16/Тыналиева",$ 36 500,3 095 200 сом,$ 913/м2,77 380 сом/м2,Добавлено 3 месяца назад,,346,от собственника,"кирпичный, 2017 г.",4 этаж из 13,,40 м2,,элитка,центральное,евроремонт,,проводной,совмещенный,застекленный балкон,бронированная,паркинг,,,,,,возможно подключение,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,линолеум,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1кв,верхний Джал, новостройка 2017года постройки, 4/13, СК Мерибел Иншат, общая площадь 40м2, кухня 14м2. 
Квартира в отличном состоянии, с хорошим ремонтом.
Очень светлая и теплая,
Пластиковые окна,
Теплые поли, натяжной потолок,
Санузел 100% кафель,
Застекленный балкон,
Коммуникации центральные!
Во дворе есть Десткая площадка
Охрана

Кирпичный, теплый дом,
Огороженная территория, гостевой паркинг,
Есть отдельное помещение для празднования ДР или другое.

Частично с мебелью,(кухня ,кондиционер chigo и санузел остаются)

Документы не в залоге, лично я собственник,
Отличное расположение дома,
В шаговой доступности: , школа Глобус Фрунзе
Магазины, детсады, отличная транспортная развязка.
ТОРГ УМЕСТЕН!
Пишите на WhatsApp
","""42.8302""","""74.567""",https://www.house.kg/details/69062135feb4a1e035728-24774020,
