title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды,Тип строения
"3-комн. кв., 90 м2",Бишкек,$ 103 000,8 734 400 сом,$ 1 144/м2,97 049 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,473,от собственника,кирпичный,2 этаж из 5,,90 м2,,индивид. планировка,центральное,евроремонт,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,ламинат,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается шикарная 3 комнатная  квартира в самом сердце столицы! Расположенной на улице Киевской дом 49,          королевский этаж 2/5, не угловая, общая площадь 90 м2, квартира увеличена за счет сушилки переделанной в кухню, очень удобная планировка. Дом находится между улицей Советской и Тыныстанова, огромный двор, огороженная территория, ворота на пульте, с парковкой проблем нет место много, окна выходят во двор в сторону проспекта Чуй, очень тихий двор без шумов и посторонних людей, своя баскетбольная площадка, рядом отличная инфраструктура, парки, магазины, скверы, школы, детсады итд, Новый дизайнерский ремонт сделан пол года назад, все материалы дорогие, двери из натурального массива, входная дверь производства России класса люкс, в квартире остается вся мебель, бытовая техника, фирменная посуда, вообщем все то что нужно для комфортной жизни, заходи и живи.
","""42.8748""","""74.6103""",https://www.house.kg/details/48146245faec20fd9cf04-81336733,,
"3-комн. кв., 58 м2",Бишкек,$ 42 000,3 561 600 сом,$ 724/м2,61 407 сом/м2,Добавлено 5 месяцев назад,Поднято 2 дня назад,536,от собственника,панельный,3 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,,совмещенный,лоджия,,,,,,,,магистральный,,домофон,,,,"пластиковые окна,                                             комнаты изолированы",,,обмен не предлагать,"

                                    Описание от продавца                            
Продается 3х комнатная квартира Ташкентская-Исанова.
Квартира 104 серии, этаж 3/4, угловая, 58м² + большая лоджия, в отличном состоянии, все коммуникации.
","""42.8848""","""74.5925""",https://www.house.kg/details/5285075f8f15f5cf3f07-60399955,,
"1-комн. кв., 35 м2","Бишкек, Восток-5 м-н",$ 26 500,2 247 200 сом,$ 757/м2,64 206 сом/м2,Добавлено 12 дней назад,Поднято 2 дня назад,110,от агента,кирпичный,9 этаж из 9,,35 м2,,105 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 1 комнатная квартира Восток 5. 105 серия. Этаж 9/9, не угловая. 34,7 кв метра. Без ремонта. Крыша в порядке . Лоджия застекленная. Коммуникации все центральные. 

Цена 26,500$

Обращаться по номерам 0554765567, 0770211120
","""42.8724""","""74.6323""",https://www.house.kg/details/2351693604c7a339ef404-18626950,,
"3-комн. кв., 80 м2","Бишкек, Заморская 4 40/Садовая",$ 55 000,4 664 000 сом,$ 688/м2,58 300 сом/м2,Добавлено 2 дня назад,,48,от собственника,"кирпичный, 2015 г.",4 этаж из 5,,80 м2,,элитка,,хорошее,нет,проводной,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             видеонаблюдение",полностью меблирована,ламинат,3 м.,"пластиковые окна,                                             кондиционер,                                             неугловая,                                             комнаты изолированы",,,,,"""42.8797""","""74.6851""",https://www.house.kg/details/56367936059e8e8d26ae6-24252934,,
"Дом, 6 и более комнат, 155 м2","Бишкек, Панфилова 61/горького",$ 115 000,9 752 000 сом,$ 742/м2,62 916 сом/м2,Добавлено 2 месяца назад,Поднято 2 дня назад,267,от собственника,"кирпичный, 2009 г.",,2,155 м2,3.5 соток,,на газе,хорошее,есть,,раздельный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,пустая,ламинат,3 м.,"пластиковые окна,                                             хозпостройки",нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю дом  по Панфилова, пересекает Горького.

Кирпичный 2-этажный дом 2009-г постройки, теплый, уютный дом. 155 кв.м.
1-этаж : большой холл, большой зал, кухня, санузел, топка. 
2-этаж : 4 спальни, 2 санузла. В доме все условия, центральная канализация и газ.
Отопление газ и электро.
Участок 3.5 сотки
Также во дворе отдельно стоит 2-х комнатная полдома и хозпостройка. Хозпостройку при желании можно снести и увеличить площадь двора.

Недалеко Вефа центр. Идеально подойдет под офис, детсад, гостиницу, мед.клинику и пр виды бизнеса.

Такая цена в связи со срочностью, в этом районе 1 сотка стоит 30-35тыс долл, у нас только участок на 100тыс долл + 2-этажный дом и 2комн полдома ( отдельно стоящая ) будет стоить 60-70 тыс долл. 
За наличку уступим.
","""42.8543""","""74.5999""",https://www.house.kg/details/32916846016a9927a6067-03846586,,
"2-комн. кв., 69 м2","Бишкек, ул. Токомбаева, 29/2",$ 57 000,4 833 600 сом,$ 826/м2,70 052 сом/м2,Добавлено 4 дня назад,Поднято 2 дня назад,91,от собственника,"кирпичный, 2017 г.",2 этаж из 12,,69 м2,,элитка,электрическое,евроремонт,,,совмещенный,лоджия,металлическая,паркинг,,,,,,,,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",частично меблирована,паркет,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Свежий ультра люкс евро ремонт, Теплый пол во всех комнатах включая ванную и холл заходи и живи.
2-х комнатная квартира 2-й этаж из 12, расположенная в жилом комплексе Алымбек Датка, на пересечении А.Токомбаева - Ж.Пудовкина, напротив Глобуса. Кирпичный дом со всеми коммуникациями.
В строительстве многоэтажного жилого комплекса предусмотрены не только удобные планировки квартир, кирпичные стены с утеплителем, металлопластиковые бесшумные окна (цвет – золотой дуб, производство Турция), наружная бронированная дверь (производство Россия), кабельное телевидение, интернет, телефонная линия, видеодомофон, бесшумные высокоскоростные лифты (Hyundai-Южная Корея), генератор, обеспечивающий автономность работы лифтов в случае отключения электричества, датчик движения на свет, лифт.холл, а также благоустроенная огороженная территория, детская площадка, магазины, подземный и гостевой паркинг и все необходимое для комфортной жизни жителей столицы. Одним из ключевых преимуществ расположения жилого комплекса является высокая эко логичность спальнего района, чистый воздух, шикарный панорамный вид на горы, а также развитая инфраструктура. С верхних этажей открывается бесподобный панорамный вид нашей столицы, а в его южной части вы можете лицезреть величественные горы Ала-Тоо.
","""42.8239""","""74.6128""",https://www.house.kg/details/831618060571d763f4542-57039852,,
"Дом, 4-комн., 70 м2","Бишкек, Пионерская 49/Буденного",$ 80 000,6 784 000 сом,$ 1 143/м2,96 914 сом/м2,Добавлено 1 год назад,Поднято 2 дня назад,1680,от собственника,другое,,1,70 м2,10 соток,,на газе,хорошее,есть,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,пустая,дерево,,,нет,нет,рассмотрю варианты,,"""42.8804""","""74.644""",https://www.house.kg/details/94911785e573231f22705-53785563,,
"3-комн. кв., 110 м2","Бишкек, ул. Скрябина, 38б",$ 110 000,9 328 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 6 месяцев назад,Поднято 2 дня назад,1197,от собственника,"монолитный, 2019 г.",7 этаж из 12,,"110 м2, жилая: 109 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,2 с/у и более,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             видеонаблюдение",полностью меблирована,паркет,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3-х комнатную квартиру 110м2 на 7- этаже с панорамным видом в ЖК Кереге СК TS GROUP
Квартира полностью готова к эксплуатации все коммуникации центральные
Сделан ремонт использовались только качественные и дорогие материалы
Квартира продается с мебелью готова к заселению на 100%
Благоустроенный огражденный двор
Бесшумные скоростные лифты
Детская игровая площадка
Парковка
Охрана круглосуточная
Видеонаблюдение
Магазины, офисы и мед. центр на 1-м и цокольном этажах



Подъезды: 2
Жилые этажи: со 2 по 12;
Конструкция: железобетонный каркас, заполнение кирпич
Отделка фасада: травертин, утеплённый базальтовым волокном
Цена 125 000$ Есть торг
","""42.8502""","""74.6085""",https://www.house.kg/details/27270055f6313d8d32726-65647136,,
"Коммерческая недвижимость, 100 м2",Бишкек,$ 150 000,12 720 000 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,414,от агента,"кирпичный, 2021 г.",,12,100 м2,250 соток,,центральное,свободная планировка,возможно подключение,проводной,,,,,,,,,,,,,,,3.5 м.,,есть,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продается коммерческое помещение 100м2 по первой линии на первом этаже
По улице Горького рядом с Тойота центром 
Объект на стадии проектирования 
по всем вопросам звонить по указанному номеру!
","""42.8564""","""74.6307""",https://www.house.kg/details/33420965fe5b114a3e1f3-23852175,,
"6 и более комнат кв., 305 м2","Бишкек, ул. Ибраимова, 115 (Чуй-Гоголя)",$ 320 250,27 157 200 сом,$ 1 050/м2,89 040 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,676,от собственника,"монолитный, 2017 г.",12 этаж из 13,,305 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,проводной,2 с/у и более,балкон,бронированная,гараж,,,,,,магистральный,,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",,,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             комнаты изолированы",есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продается пентхаус в центре 305м2 
Этажи 12-13
","""42.8739""","""74.62""",https://www.house.kg/details/87003405fc9d1980a81a5-52594443,,
"2-комн. кв., 60 м2","Бишкек, Гоголя/Чуй",$ 88 000,7 462 400 сом,$ 1 467/м2,124 373 сом/м2,Добавлено 6 месяцев назад,Поднято 2 дня назад,821,от собственника,"монолитный, 2017 г.",10 этаж из 12,,60 м2,,элитка,центральное,евроремонт,есть,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             сигнализация,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,паркет,3 м.,"новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается уютная 2-х комнатная квартира  в жилом комплексе премиум класса. В квартире сделан дорогой, дизайнерский евро ремонт из качественных материалов. Каждая деталь подобрана индивидуально и  со вкусом. Удачная планировка которая позволяет рационально использовать пространство. Делали все для себя, продумана каждая мелочь.  Остается вся мебель и бытовая техника. ЗАХОДИ И ЖИВИ!

СК - Орда Инвест.
ЖК - Асыл Таш.
Комнат - 2;
этаж - 10/13;
площадь - 64 м2;
коммуникации полностью центральные.
СТОИМОСТЬ: 88,000$.

Охраняемый дом с круглосуточным видеонаблюдением. На территории дома несколько детских площадок, магазины, аптеки, салон красоты. Поблизости школы, детские сады.  

Удобное расположение комплекса на пересечении центральных улиц Гоголя/Чуй ( ориентир DORDOI PLAZA ).


Архитектура
Внешняя отделка комплекса выполнена из современного высококачественного материала Травертина – прочного природного камня, вобравшего в себя всю уникальность узоров и оттенков природы. Одним из его важнейших преимуществ, несомненно, являются его долговечность, способность противостоять различным атмосферным явлениям и физическим нагрузкам, при этом сохраняя свои свойства и первозданный вид. Важны и его экологические свойства: Сары-Таш (Травертин) не оказывает негативного воздействия на организм человека и, более того, обладает бактерицидным действием.
Внутренняя отделка лестниц и подъездов облицована гранитом и сары-таш, а пол вымощен натуральным камнем.
","""42.8739""","""74.62""",https://www.house.kg/details/19861665f768fde5f0fa8-77226612,,
"Коммерческая недвижимость, 873 м2","Бишкек, 7 апреля 6а",$ 420 000,35 616 000 сом,$ 481/м2,40 797 сом/м2,Добавлено 2 месяца назад,Поднято 2 дня назад,266,от агента,,,2,873 м2,9 соток,,,хорошее,,,,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продается коммерческое помещение по адресу ул. 7 Апреля, 6А. Двухэтажное здание с подвальным помещением.
Общая площадь  873 кв.м.
1 этаж 286,1м2;   
2 этаж 358,9м2
Подвал 228,4 м2  
Участок 9 соток. 
3 фазка, вода, канализация 
Высота потолков 3 м, 1 этаж 3.5 м
Отлично подойдет под офис, языковые курсы, фитнес клуб, компьютерный клуб, студию, издание и т.д.
Развитая инфраструктура и транспорная развязка. 
Рассмотрим бартер на авто, недвижимость.
Стоимость 420 000$
","""42.8637""","""74.6384""",https://www.house.kg/details/561091600fad1170eb16-38132025,,
"Коммерческая недвижимость, 157 м2","Бишкек, Гоголя/Чуй",$ 227 650,19 304 720 сом,$ 1 450/м2,122 960 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,678,от собственника,"монолитный, 2017 г.",,12,157 м2,68 соток,,центральное,под самоотделку (псо),есть,,,,,,,,,,,,,"решетки на окнах,                                             сигнализация,                                             охрана,                                             видеонаблюдение,                                             консьерж",,,3 м.,,нет,нет,,"

                                    Описание от продавца                            
Продаются коммерческие помещения в бизнес центре ""А"" класса Асыл - Таш. В самом центре города на первой линии. Осталось всего несколько помещений. Не ждите повышения курса. Приобретайте уже сейчас. Подчеркните статус своей компании уютным офисом.
 Коммуникации центральные;
 Отличное обслуживание;
 Охрана;
 Видео-наблюдение;
Два скоростных лифта;
Современная система пожаробезопасности.
Площадь: 157 м2, 167 м2, 
За подробной информацией обращайтесь по телефону: 0777918106, 0500918106.
","""42.8744""","""74.6198""",https://www.house.kg/details/4579485fdb2d26a0fcf1-48359867,,
"2-комн. кв., 71 м2","Бишкек, Токтогула/Суюмбаева",$ 46 150,3 913 520 сом,$ 650/м2,55 120 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,804,от агента,"монолитный, 2020 г.",8 этаж из 12,,71 м2,,элитка,центральное,под самоотделку (псо),,,раздельный,,бронированная,,,,,,,,,,,,3 м.,пластиковые окна,нет,нет,,"

                                    Описание от продавца                            
Продается 2-х комнатная квартира от строительной компании ""Семак"" в завершенном доме, прямо в центре города. ПСО.
СК - ""Семак"";
ЖК - ""Rayyan center""
этаж - 8/12;
утепление - базальтом;
площадь - 71,1 м2;
материал стен - кирпич;
отделка фасада - сары таш;
коммуникации центральные, включая и отопление.
Уже  можно начинать делать ремонт.

Адрес: пересечении ул.Токтогула и ул. А.Суюнбаева (Карпинская). Вместе с высочайшим качеством и престижностью место- расположения ТД “1000 мелочей”, ТЦ “ЦУМ”, ТЦ “Дордой Плаза”, ТД “Бишкек Сити”, центральная Мечеть, дом гармонично сочетает в себе высокий уровень комфорта, организованную безопасность, современные инженерные сети.

СТОИМОСТЬ : 650$ за 1 м2
","""42.8708""","""74.6244""",https://www.house.kg/details/67584425fb4ff63871799-69623715,,
"3-комн. кв., 82 м2","Бишкек, Асанбай м-н, Южная магистраль/Сухэ Батора",$ 60 680,5 145 664 сом,$ 740/м2,62 752 сом/м2,Добавлено 28 дней назад,Поднято 2 дня назад,129,от агента,"монолитный, 2021 г.",8 этаж из 10,,82 м2,,элитка,автономное,под самоотделку (псо),возможно подключение,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",пустая,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Срочно продается 3х комнатная квартира по цене ниже застройщика 
От строительной компании Elite House 
Жилой дом Асамбай Ордо 

Этаж 8 из 10 
ПСО
Площадь 82 м2
Высота потолков 3 метра 
Коммуникации центральные 
Отопление газовое 
Цена за м2 - 740$ 
Общая стоимость 60 680$

Дом сдан ПСО можно делать ремонт 

Жилой комплекс «Асанбай Ордо» - новостройка категории комфорт, которая имеет характеристики премиального жилья.
","""42.8188""","""74.6162""",https://www.house.kg/details/172513860379bbc855522-01379302,,
"2-комн. кв., 71.1 м2","Бишкек, Карпинка/Токтогула",$ 46 215,3 919 032 сом,$ 650/м2,55 120 сом/м2,Добавлено 6 месяцев назад,Поднято 2 дня назад,522,от агента,"монолитный, 2020 г.",6 этаж из 12,,71.1 м2,,элитка,центральное,под самоотделку (псо),,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"охрана,                                             видеонаблюдение",пустая,,3 м.,комнаты изолированы,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается 1 комнатная квартира от строительной компании ""Семак"" в завершенном доме, прямо в центре города.
СК - ""Семак"";
ЖК - ""Rayyan center""
этаж - 8/12;
площадь -71,1
утепление - базальтом;
материал стен - кирпич;
отделка фасада - сары таш;
коммуникации центральные, включая и отопление.
Уже можно начинать делать ремонт.

Адрес: пересечении ул.Токтогула и ул. А.Суюнбаева (Карпинская). Вместе с высочайшим качеством и престижностью место- расположения ТД “1000 мелочей”, ТЦ “ЦУМ”, ТЦ “Дордой Плаза”, ТД “Бишкек Сити”, центральная Мечеть, дом гармонично сочетает в себе высокий уровень комфорта, организованную безопасность, современные инженерные сети.

СТОИМОСТЬ : 650$ за 1 м2
","""42.8708""","""74.6244""",https://www.house.kg/details/57114025f7ef99c6075c0-74358316,,
"Коммерческая недвижимость, 90 м2","Бишкек, Ахумбаева/Токтоналиева",$ 62 000,5 257 600 сом,$ 689/м2,58 418 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,215,от агента,"кирпичный, 2021 г.",,13,90 м2,18 соток,,центральное,черновая отделка,возможно подключение,проводной,,,,,,,,,,,,"домофон,                                             сигнализация,                                             кодовый замок,                                             видеонаблюдение",,,3.3 м.,,нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно!  
Продается офис 
Район: Политеха
С шикарным видом на центр города Бишкек!
Площадь  90кв.м. 
Высота потолка 3 метра
13-ый ЭТАЖ! 
Пересечение Ахун/Мира на первой линии вход со стороны Ахунбаева Лифты запущены 
Реальному клиенту хорошая уступка!
Возможны варианты обмена на квартиры/ машины

Цена 62000$
","""42.8438""","""74.5908""",https://www.house.kg/details/3107366602620155ceda3-06149149,,
"2-комн. кв., 71.1 м2","Бишкек, Карпинка 41/Токтогула",$ 46 215,3 919 032 сом,$ 650/м2,55 120 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,127,от агента,"кирпичный, 2022 г.",8 этаж из 12,,"71.1 м2, кухня: 12.5 м2",,элитка,центральное,черновая отделка,возможно подключение,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок,                                             видеонаблюдение",пустая,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается квартира 2 х комнатная 
Адрес: Карпинка пересекает Токтогула 
Дом находится по первой линии 

Квартира ПСО 
Площадь 71,1 м2
Этаж 8 из 12 
Высота потолков 3 метра
Окна выходят на Карпинку ( Западную сторону города)
Коммуникации все центральные 
Отопление подключено
Жильцы сделали ремонт и проживают 

Цена за 1м2 составляет 650$ 
Общая стоимость: 46 215$
","""42.8709""","""74.6244""",https://www.house.kg/details/75516496025f0dd2e8644-16785671,,
"3-комн. кв., 103 м2","Бишкек, Саякбая Каралаева 64/Куттубаева",$ 66 000,5 596 800 сом,$ 641/м2,54 338 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,167,от агента,кирпичный,8 этаж из 10,,"103 м2, жилая: 73.35 м2, кухня: 15 м2",,элитка,на газе,черновая отделка,есть,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок,                                             видеонаблюдение",пустая,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается 3х комнатная квартира 
Адрес 6 микрорайон по Каралаева 
Квартира с тех паспортом

Площадь 103 м2
Этаж 8 из 10
Высота потолков 3 метра

Отопление газовое, своя котельная
Дом введен в эксплуатацию
Заселен на 95 %

Преимущество квартиры :
Не последний этаж 
Отличный вид как на парк так и во двор дома
Окна выходят на восток и запад 
Квартира сквозная  
Теплая и уютная 

Цена 66000$
","""42.8247""","""74.632""",https://www.house.kg/details/77312926025e8ea1a8a77-11639183,,
"Коммерческая недвижимость, 157 м2","Бишкек, Чуй проспект/Гоголя",$ 235 500,19 970 400 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,240,от агента,,,12,157 м2,36 соток,,центральное,евроремонт,есть,adsl,,,,,,,,,,,,"сигнализация,                                             охрана,                                             видеонаблюдение,                                             консьерж",,,3 м.,,есть,нет,с доплатой покупателя,"

                                    Описание от продавца                            
Продаются коммерческие помещения:
Офисы с ремонтом в бизнес центре ""А"" класса Асыл - Таш.
В самом центре города на первой линии.
Подчеркните статус своей компании уютным офисом.
Коммуникации все центральные;

Ресепшен;
Охрана;
Видео-наблюдение;
Два скоростных лифта;
Паркинг гостевой
Паркинг 4х уровневый
Современная система пожаробезопасности.

Бизнес Центр Асыл Таш
Адрес Чуй Гоголя

Площадь имеется в наличии:
157 м2
167 м2
330 м2

Стоимость 1500$ за м2
","""42.8739""","""74.62""",https://www.house.kg/details/158599360252bd7c115c6-09682054,,
"Коммерческая недвижимость, 500 м2","Бишкек, Гоголя",$ 1 250 000,106 000 000 сом,$ 2 500/м2,212 000 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,555,от агента,"кирпичный, 2021 г.",,8,500 м2,29 соток,,центральное,недостроено,есть,проводной,,,,,,,,,,,,"сигнализация,                                             охрана,                                             видеонаблюдение",,,3.5 м.,,есть,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю коммерческое помещение в центре города.
От строительной  компании Стальмонтаж Плюс
Дом премиум класса 
Рядом с центральной мечетью 
По улице гоголя 
Отличное место расположения под магазины и кафе
Площадь 500 м2 с возможностью поделить 
Срок сдачи ПСО в 4 квартал 2021 год
Цена за квадратный метр 2500$
Рассрочка 1,5 года 
Рассмотрим варианты бартера на авто и квартиры 
Инвестируйте на этапе строительства по выгодным условиям !
","""42.8836""","""74.6191""",https://www.house.kg/details/77513895fdae7882b6d85-41963592,,
"Коммерческая недвижимость, 40 м2","Бишкек, Карпинка/Токтогула",$ 37 000,3 137 600 сом,$ 925/м2,78 440 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,760,от агента,"кирпичный, 2020 г.",,12,40 м2,18 соток,,центральное,под самоотделку (псо),возможно подключение,проводной,,,,,,,,,,,,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение",,,3 м.,,есть,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно распродаю офисы на 2 м этаже жилого дома Раян Центр 
Адрес Карпинка Токтогула
Этаж 2 из 12
Преимущества:
Отличная локация для бизнеса так как первая линия 
Паровка возле дома 
Вход отдельный 
Коммуникации все центральные 
Транспортная доступность 
Развитая инфракструктура 

Ниже рассписана площадь и цена 
39,7 м2 37715$ 
41.1 м2 39045$
64.3 м2 61085$ выход окон на Карпинку 
50,9 м2 48355$ выход окон на Карпинку 
91.4 м2 86830$ окна выходят на карпинку и южную часть 
74,9 м2 71155$ окна выходят на южную часть 
170  м2 161500$ окна выходят на южную часть
","""42.871""","""74.6243""",https://www.house.kg/details/84351485faba19ea3e613-71535004,,
"3-комн. кв., 103 м2","Бишкек, Акылбекова 66",$ 56 000,4 748 800 сом,$ 544/м2,46 105 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,588,от собственника,"монолитный, 2020 г.",7 этаж из 10,,103 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,,2 с/у и более,,,,,,,,,,,домофон,,,3 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продается 3х ком кв..
Площадь: 103 м2. 
Этаж 7/10
Участок 30 сот.
Красная книга
Дом сдан ПСО.
Тех паспорт через пол года.
Коммуникации центральные.
СТОИМОСТЬ: 560$ за 1 м2.

Уже можно заходить и делать ремонт. Полностью центральные коммуникации. Отличная планировка. Красная книга. Поблизости 52 школа. Дети будут за две минуты доходить до школы.

Подробности по телефону:0777918106, 0500918106.
","""42.8769""","""74.6476""",https://www.house.kg/details/68397375fe4b2c2e63a37-25869547,,
"3-комн. кв., 58 м2","Бишкек, Чокморова 9/Калыка Акиева",$ 46 000,3 900 800 сом,$ 793/м2,67 255 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,792,от агента,кирпичный,5 этаж из 5,,58 м2,,104 серия,центральное,хорошее,возможно подключение,проводной,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок",частично меблирована,ламинат,2.8 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру
Адрес: Чокморова Калыка Акиева
Район: Молодой гвардии / Бокомбаева

Этаж 5/5
Площадь: 58 м2
С зала выход на лоджию
Состояние квартиры хорошее
Коммуникации все центральные
Квартира не угловая
Продаю частично с мебелью

Цена 46000$ торг минbмальный
","""42.8689""","""74.5773""",https://www.house.kg/details/15681615fb4fd2c1a6258-10958717,,
